2017/02/03 18:41:04
Time (sec),PTAT,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255
0.156,2.609375,2.49375,2.503125,2.4,2.434375,2.45625,2.465625,2.46875,2.43125,2.43125,2.46875,2.465625,2.45625,2.434375,2.45625,2.503125,2.49375,2.44375,2.415625,2.45625,2.46875,2.478125,2.45,2.45,2.45625,2.45625,2.45,2.4125,2.478125,2.46875,2.45,2.465625,2.440625,2.46875,2.4125,2.434375,2.44375,2.4875,2.459375,2.465625,2.465625,2.465625,2.459375,2.425,2.45625,2.484375,2.475,2.45625,2.465625,2.45,2.475,2.484375,2.459375,2.465625,2.465625,2.46875,2.46875,2.440625,2.434375,2.465625,2.465625,2.459375,2.4125,2.434375,2.49375,2.465625,2.44375,2.45625,2.5,2.46875,2.440625,2.44375,2.44375,2.475,2.44375,2.440625,2.434375,2.465625,2.45625,2.44375,2.421875,2.475,2.4875,2.459375,2.434375,2.475,2.475,2.478125,2.45,2.45,2.475,2.475,2.475,2.46875,2.459375,2.484375,2.475,2.44375,2.45625,2.465625,2.503125,2.475,2.478125,2.50625,2.478125,2.478125,2.45,2.478125,2.475,2.46875,2.465625,2.45625,2.440625,2.478125,2.49375,2.465625,2.475,2.478125,2.50625,2.50625,2.45,2.45,2.478125,2.478125,2.478125,2.475,2.465625,2.4875,2.478125,2.44375,2.49375,2.5,2.503125,2.478125,2.478125,2.478125,2.478125,2.45,2.45,2.478125,2.475,2.475,2.465625,2.459375,2.44375,2.478125,2.4875,2.465625,2.475,2.50625,2.478125,2.478125,2.478125,2.478125,2.478125,2.478125,2.475,2.440625,2.465625,2.45625,2.440625,2.478125,2.45625,2.5,2.46875,2.475,2.478125,2.478125,2.50625,2.478125,2.478125,2.478125,2.475,2.46875,2.49375,2.45625,2.440625,2.46875,2.484375,2.459375,2.465625,2.475,2.503125,2.50625,2.50625,2.478125,2.475,2.475,2.475,2.465625,2.459375,2.45,2.46875,2.459375,2.440625,2.45625,2.49375,2.5,2.46875,2.46875,2.475,2.503125,2.475,2.46875,2.465625,2.459375,2.45625,2.478125,2.415625,2.484375,2.465625,2.515625,2.4875,2.49375,2.465625,2.465625,2.5,2.465625,2.465625,2.465625,2.459375,2.4875,2.478125,2.425,2.484375,2.45625,2.4875,2.465625,2.478125,2.484375,2.4875,2.4875,2.49375,2.459375,2.45625,2.4875,2.45,2.440625,2.425,2.440625,2.5125,2.5,2.45,2.484375,2.5,2.465625,2.475,2.440625,2.478125,2.478125,2.478125,2.475,2.46875,2.45625,2.484375,2.45625,2.43125
0.296,5.21875,4.9875,5.00625,4.8,4.86875,4.9125,4.93125,4.9375,4.8625,4.8625,4.9375,4.93125,4.9125,4.86875,4.9125,5.00625,4.9875,4.8875,4.83125,4.9125,4.9375,4.95625,4.9,4.9,4.9125,4.9125,4.9,4.825,4.95625,4.9375,4.9,4.93125,4.88125,4.9375,4.825,4.86875,4.8875,4.975,4.91875,4.93125,4.93125,4.93125,4.91875,4.85,4.9125,4.96875,4.95,4.9125,4.93125,4.9,4.95,4.96875,4.91875,4.93125,4.93125,4.9375,4.9375,4.88125,4.86875,4.93125,4.93125,4.91875,4.825,4.86875,4.9875,4.93125,4.8875,4.9125,5,4.9375,4.88125,4.8875,4.8875,4.95,4.8875,4.88125,4.86875,4.93125,4.9125,4.8875,4.84375,4.95,4.975,4.91875,4.86875,4.95,4.95,4.95625,4.9,4.9,4.95,4.95,4.95,4.9375,4.91875,4.96875,4.95,4.8875,4.9125,4.93125,5.00625,4.95,4.95625,5.0125,4.95625,4.95625,4.9,4.95625,4.95,4.9375,4.93125,4.9125,4.88125,4.95625,4.9875,4.93125,4.95,4.95625,5.0125,5.0125,4.9,4.9,4.95625,4.95625,4.95625,4.95,4.93125,4.975,4.95625,4.8875,4.9875,5,5.00625,4.95625,4.95625,4.95625,4.95625,4.9,4.9,4.95625,4.95,4.95,4.93125,4.91875,4.8875,4.95625,4.975,4.93125,4.95,5.0125,4.95625,4.95625,4.95625,4.95625,4.95625,4.95625,4.95,4.88125,4.93125,4.9125,4.88125,4.95625,4.9125,5,4.9375,4.95,4.95625,4.95625,5.0125,4.95625,4.95625,4.95625,4.95,4.9375,4.9875,4.9125,4.88125,4.9375,4.96875,4.91875,4.93125,4.95,5.00625,5.0125,5.0125,4.95625,4.95,4.95,4.95,4.93125,4.91875,4.9,4.9375,4.91875,4.88125,4.9125,4.9875,5,4.9375,4.9375,4.95,5.00625,4.95,4.9375,4.93125,4.91875,4.9125,4.95625,4.83125,4.96875,4.93125,5.03125,4.975,4.9875,4.93125,4.93125,5,4.93125,4.93125,4.93125,4.91875,4.975,4.95625,4.85,4.96875,4.9125,4.975,4.93125,4.95625,4.96875,4.975,4.975,4.9875,4.91875,4.9125,4.975,4.9,4.88125,4.85,4.88125,5.025,5,4.9,4.96875,5,4.93125,4.95,4.88125,4.95625,4.95625,4.95625,4.95,4.9375,4.9125,4.96875,4.9125,4.8625
0.406,6.51875,6.1953125,6.253125,6.025,6.08125,6.15625,6.159375,6.1671875,6.0734375,6.0734375,6.1671875,6.159375,6.134375,6.08125,6.134375,6.253125,6.2296875,6.1046875,6.0609375,6.134375,6.1671875,6.190625,6.1203125,6.1203125,6.1515625,6.134375,6.1203125,6.0421875,6.171875,6.1671875,6.1203125,6.159375,6.096875,6.140625,6.046875,6.1015625,6.1046875,6.196875,6.14375,6.159375,6.159375,6.159375,6.14375,6.075,6.134375,6.20625,6.1828125,6.134375,6.159375,6.1421875,6.1828125,6.1890625,6.14375,6.1421875,6.159375,6.1671875,6.1671875,6.1109375,6.08125,6.159375,6.159375,6.14375,6.0421875,6.1015625,6.2296875,6.18125,6.1046875,6.134375,6.228125,6.1671875,6.1140625,6.1203125,6.1046875,6.1671875,6.1203125,6.1109375,6.0984375,6.1421875,6.134375,6.121875,6.071875,6.1828125,6.196875,6.14375,6.0984375,6.1828125,6.1828125,6.1734375,6.134375,6.15,6.1828125,6.1828125,6.165625,6.1671875,6.14375,6.20625,6.1625,6.1046875,6.134375,6.159375,6.2359375,6.1828125,6.190625,6.2625,6.190625,6.1765625,6.1203125,6.190625,6.196875,6.1671875,6.159375,6.134375,6.115625,6.190625,6.2296875,6.159375,6.165625,6.190625,6.246875,6.246875,6.134375,6.134375,6.190625,6.190625,6.190625,6.1828125,6.159375,6.196875,6.190625,6.1046875,6.2125,6.2296875,6.253125,6.190625,6.190625,6.190625,6.190625,6.134375,6.134375,6.190625,6.1828125,6.1828125,6.159375,6.1265625,6.1046875,6.1734375,6.2140625,6.175,6.1828125,6.2453125,6.190625,6.190625,6.20625,6.190625,6.190625,6.190625,6.1828125,6.1109375,6.159375,6.134375,6.096875,6.190625,6.1515625,6.24375,6.1671875,6.1828125,6.190625,6.190625,6.2328125,6.1765625,6.190625,6.20625,6.1828125,6.1671875,6.215625,6.1515625,6.1140625,6.1671875,6.20625,6.1609375,6.175,6.196875,6.253125,6.2453125,6.246875,6.20625,6.1828125,6.1828125,6.1828125,6.159375,6.1609375,6.1375,6.1671875,6.14375,6.115625,6.16875,6.2296875,6.24375,6.1671875,6.1671875,6.196875,6.253125,6.1828125,6.153125,6.159375,6.1609375,6.1515625,6.171875,6.05625,6.20625,6.159375,6.265625,6.2140625,6.2125,6.159375,6.175,6.228125,6.159375,6.14375,6.159375,6.1609375,6.2140625,6.1734375,6.078125,6.20625,6.134375,6.190625,6.159375,6.190625,6.221875,6.2140625,6.196875,6.2125,6.14375,6.1515625,6.196875,6.1203125,6.115625,6.078125,6.1203125,6.2765625,6.2109375,6.1203125,6.18125,6.221875,6.159375,6.1828125,6.096875,6.190625,6.190625,6.190625,6.1828125,6.1671875,6.134375,6.20625,6.134375,6.0734375
0.515,7.81875,7.403125,7.5,7.25,7.29375,7.4,7.3875,7.396875,7.284375,7.284375,7.396875,7.3875,7.35625,7.29375,7.35625,7.5,7.471875,7.321875,7.290625,7.35625,7.396875,7.425,7.340625,7.340625,7.390625,7.35625,7.340625,7.259375,7.3875,7.396875,7.340625,7.3875,7.3125,7.34375,7.26875,7.334375,7.321875,7.41875,7.36875,7.3875,7.3875,7.3875,7.36875,7.3,7.35625,7.44375,7.415625,7.35625,7.3875,7.384375,7.415625,7.409375,7.36875,7.353125,7.3875,7.396875,7.396875,7.340625,7.29375,7.3875,7.3875,7.36875,7.259375,7.334375,7.471875,7.43125,7.321875,7.35625,7.45625,7.396875,7.346875,7.353125,7.321875,7.384375,7.353125,7.340625,7.328125,7.353125,7.35625,7.35625,7.3,7.415625,7.41875,7.36875,7.328125,7.415625,7.415625,7.390625,7.36875,7.4,7.415625,7.415625,7.38125,7.396875,7.36875,7.44375,7.375,7.321875,7.35625,7.3875,7.465625,7.415625,7.425,7.5125,7.425,7.396875,7.340625,7.425,7.44375,7.396875,7.3875,7.35625,7.35,7.425,7.471875,7.3875,7.38125,7.425,7.48125,7.48125,7.36875,7.36875,7.425,7.425,7.425,7.415625,7.3875,7.41875,7.425,7.321875,7.4375,7.459375,7.5,7.425,7.425,7.425,7.425,7.36875,7.36875,7.425,7.415625,7.415625,7.3875,7.334375,7.321875,7.390625,7.453125,7.41875,7.415625,7.478125,7.425,7.425,7.45625,7.425,7.425,7.425,7.415625,7.340625,7.3875,7.35625,7.3125,7.425,7.390625,7.4875,7.396875,7.415625,7.425,7.425,7.453125,7.396875,7.425,7.45625,7.415625,7.396875,7.44375,7.390625,7.346875,7.396875,7.44375,7.403125,7.41875,7.44375,7.5,7.478125,7.48125,7.45625,7.415625,7.415625,7.415625,7.3875,7.403125,7.375,7.396875,7.36875,7.35,7.425,7.471875,7.4875,7.396875,7.396875,7.44375,7.5,7.415625,7.36875,7.3875,7.403125,7.390625,7.3875,7.28125,7.44375,7.3875,7.5,7.453125,7.4375,7.3875,7.41875,7.45625,7.3875,7.35625,7.3875,7.403125,7.453125,7.390625,7.30625,7.44375,7.35625,7.40625,7.3875,7.425,7.475,7.453125,7.41875,7.4375,7.36875,7.390625,7.41875,7.340625,7.35,7.30625,7.359375,7.528125,7.421875,7.340625,7.39375,7.44375,7.3875,7.415625,7.3125,7.425,7.425,7.425,7.415625,7.396875,7.35625,7.44375,7.35625,7.284375
0.608,9.11875,8.6109375,8.715625,8.475,8.50625,8.621875,8.615625,8.6265625,8.5140625,8.475,8.6265625,8.615625,8.578125,8.50625,8.578125,8.746875,8.7140625,8.5390625,8.5203125,8.578125,8.6265625,8.640625,8.5609375,8.5609375,8.6125,8.578125,8.5609375,8.4765625,8.621875,8.6265625,8.5609375,8.615625,8.5625,8.5734375,8.490625,8.546875,8.5390625,8.6578125,8.59375,8.615625,8.615625,8.615625,8.59375,8.5078125,8.578125,8.68125,8.6484375,8.578125,8.615625,8.6046875,8.6484375,8.6296875,8.59375,8.5953125,8.615625,8.6265625,8.6125,8.5703125,8.5234375,8.615625,8.5984375,8.59375,8.4765625,8.5671875,8.6921875,8.659375,8.5390625,8.5953125,8.684375,8.6265625,8.5796875,8.5859375,8.5546875,8.6015625,8.5859375,8.5703125,8.5578125,8.58125,8.578125,8.590625,8.528125,8.6484375,8.640625,8.6109375,8.5578125,8.6484375,8.6328125,8.625,8.603125,8.634375,8.6328125,8.6328125,8.6140625,8.6265625,8.59375,8.6640625,8.6078125,8.55625,8.578125,8.615625,8.6953125,8.6625,8.675,8.746875,8.659375,8.6171875,8.575,8.6453125,8.6765625,8.64375,8.63125,8.578125,8.565625,8.659375,8.7140625,8.615625,8.596875,8.659375,8.73125,8.715625,8.5890625,8.603125,8.659375,8.659375,8.659375,8.6484375,8.615625,8.640625,8.659375,8.5390625,8.6625,8.703125,8.746875,8.659375,8.659375,8.675,8.659375,8.603125,8.603125,8.659375,8.6484375,8.6484375,8.615625,8.559375,8.55625,8.625,8.675,8.646875,8.6625,8.7109375,8.659375,8.659375,8.690625,8.675,8.659375,8.6453125,8.6484375,8.5703125,8.615625,8.578125,8.546875,8.6765625,8.6296875,8.73125,8.6265625,8.6484375,8.675,8.659375,8.6734375,8.63125,8.659375,8.690625,8.6484375,8.6265625,8.6859375,8.6296875,8.5625,8.6265625,8.68125,8.6453125,8.6625,8.6765625,8.746875,8.728125,8.73125,8.690625,8.6484375,8.6484375,8.6484375,8.6,8.628125,8.6125,8.6265625,8.59375,8.565625,8.6640625,8.7140625,8.715625,8.6265625,8.6265625,8.690625,8.7328125,8.6484375,8.584375,8.615625,8.628125,8.6125,8.621875,8.50625,8.68125,8.5953125,8.715625,8.6921875,8.6796875,8.615625,8.63125,8.684375,8.63125,8.6,8.615625,8.628125,8.6921875,8.625,8.534375,8.65625,8.578125,8.6453125,8.615625,8.640625,8.6953125,8.6921875,8.6578125,8.6625,8.59375,8.6125,8.640625,8.5609375,8.565625,8.534375,8.5984375,8.75,8.6328125,8.5609375,8.60625,8.6875,8.615625,8.6484375,8.546875,8.659375,8.640625,8.659375,8.6484375,8.6265625,8.578125,8.65625,8.578125,8.4953125
0.686,10.41875,9.81875,9.93125,9.7,9.71875,9.84375,9.84375,9.85625,9.74375,9.665625,9.85625,9.84375,9.8,9.71875,9.8,9.99375,9.95625,9.75625,9.75,9.8,9.85625,9.85625,9.78125,9.78125,9.834375,9.8,9.78125,9.69375,9.85625,9.85625,9.78125,9.84375,9.8125,9.803125,9.7125,9.759375,9.75625,9.896875,9.81875,9.84375,9.84375,9.84375,9.81875,9.715625,9.8,9.91875,9.88125,9.8,9.84375,9.825,9.88125,9.85,9.81875,9.8375,9.84375,9.85625,9.828125,9.8,9.753125,9.84375,9.809375,9.81875,9.69375,9.8,9.9125,9.8875,9.75625,9.834375,9.9125,9.85625,9.8125,9.81875,9.7875,9.81875,9.81875,9.8,9.7875,9.809375,9.8,9.825,9.75625,9.88125,9.8625,9.853125,9.7875,9.88125,9.85,9.859375,9.8375,9.86875,9.85,9.85,9.846875,9.85625,9.81875,9.884375,9.840625,9.790625,9.8,9.84375,9.925,9.909375,9.925,9.98125,9.89375,9.8375,9.809375,9.865625,9.909375,9.890625,9.875,9.8,9.78125,9.89375,9.95625,9.84375,9.8125,9.89375,9.98125,9.95,9.809375,9.8375,9.89375,9.89375,9.89375,9.88125,9.84375,9.8625,9.89375,9.75625,9.8875,9.946875,9.99375,9.89375,9.89375,9.925,9.89375,9.8375,9.8375,9.89375,9.88125,9.88125,9.84375,9.784375,9.790625,9.859375,9.896875,9.875,9.909375,9.94375,9.89375,9.89375,9.925,9.925,9.89375,9.865625,9.88125,9.8,9.84375,9.8,9.78125,9.928125,9.86875,9.975,9.85625,9.88125,9.925,9.89375,9.89375,9.865625,9.89375,9.925,9.88125,9.85625,9.928125,9.86875,9.778125,9.85625,9.91875,9.8875,9.90625,9.909375,9.99375,9.978125,9.98125,9.925,9.88125,9.88125,9.88125,9.8125,9.853125,9.85,9.85625,9.81875,9.78125,9.903125,9.95625,9.94375,9.85625,9.85625,9.9375,9.965625,9.88125,9.8,9.84375,9.853125,9.834375,9.85625,9.73125,9.91875,9.803125,9.93125,9.93125,9.921875,9.84375,9.84375,9.9125,9.875,9.84375,9.84375,9.853125,9.93125,9.859375,9.7625,9.86875,9.8,9.884375,9.84375,9.85625,9.915625,9.93125,9.896875,9.8875,9.81875,9.834375,9.8625,9.78125,9.78125,9.7625,9.8375,9.971875,9.84375,9.78125,9.81875,9.93125,9.84375,9.88125,9.78125,9.89375,9.85625,9.89375,9.88125,9.85625,9.8,9.86875,9.8,9.70625
0.842,13.01875,12.234375,12.3625,12.15,12.14375,12.2875,12.3,12.315625,12.203125,12.046875,12.315625,12.3,12.24375,12.14375,12.24375,12.4875,12.440625,12.190625,12.209375,12.24375,12.315625,12.2875,12.221875,12.221875,12.278125,12.24375,12.221875,12.128125,12.325,12.315625,12.221875,12.3,12.3125,12.2625,12.15625,12.184375,12.190625,12.375,12.26875,12.3,12.3,12.3,12.26875,12.13125,12.24375,12.39375,12.346875,12.24375,12.3,12.265625,12.346875,12.290625,12.26875,12.321875,12.3,12.315625,12.259375,12.259375,12.2125,12.3,12.23125,12.26875,12.128125,12.265625,12.353125,12.34375,12.190625,12.3125,12.36875,12.315625,12.278125,12.284375,12.253125,12.253125,12.284375,12.259375,12.246875,12.265625,12.24375,12.29375,12.2125,12.346875,12.30625,12.3375,12.246875,12.346875,12.284375,12.328125,12.30625,12.3375,12.284375,12.284375,12.3125,12.315625,12.26875,12.325,12.30625,12.259375,12.24375,12.3,12.384375,12.403125,12.425,12.45,12.3625,12.278125,12.278125,12.30625,12.375,12.384375,12.3625,12.24375,12.2125,12.3625,12.440625,12.3,12.24375,12.3625,12.48125,12.41875,12.25,12.30625,12.3625,12.3625,12.3625,12.346875,12.3,12.30625,12.3625,12.190625,12.3375,12.434375,12.4875,12.3625,12.3625,12.425,12.3625,12.30625,12.30625,12.3625,12.346875,12.346875,12.3,12.234375,12.259375,12.328125,12.340625,12.33125,12.403125,12.409375,12.3625,12.3625,12.39375,12.425,12.3625,12.30625,12.346875,12.259375,12.3,12.24375,12.25,12.43125,12.346875,12.4625,12.315625,12.346875,12.425,12.3625,12.334375,12.334375,12.3625,12.39375,12.346875,12.315625,12.4125,12.346875,12.209375,12.315625,12.39375,12.371875,12.39375,12.375,12.4875,12.478125,12.48125,12.39375,12.346875,12.346875,12.346875,12.2375,12.303125,12.325,12.315625,12.26875,12.2125,12.38125,12.440625,12.4,12.315625,12.315625,12.43125,12.43125,12.346875,12.23125,12.3,12.303125,12.278125,12.325,12.18125,12.39375,12.21875,12.3625,12.409375,12.40625,12.3,12.26875,12.36875,12.3625,12.33125,12.3,12.303125,12.409375,12.328125,12.21875,12.29375,12.24375,12.3625,12.3,12.2875,12.35625,12.409375,12.375,12.3375,12.26875,12.278125,12.30625,12.221875,12.2125,12.21875,12.315625,12.415625,12.265625,12.221875,12.24375,12.41875,12.3,12.346875,12.25,12.3625,12.2875,12.3625,12.346875,12.315625,12.24375,12.29375,12.24375,12.128125
0.92,14.31875,13.4421875,13.578125,13.375,13.35625,13.4875,13.5078125,13.5265625,13.4328125,13.2578125,13.5265625,13.50625,13.465625,13.38125,13.465625,13.7,13.6828125,13.4078125,13.4125,13.465625,13.5453125,13.503125,13.4421875,13.4421875,13.5,13.4828125,13.4421875,13.3453125,13.559375,13.5453125,13.4640625,13.528125,13.5625,13.4921875,13.378125,13.396875,13.4078125,13.6140625,13.5109375,13.528125,13.5109375,13.528125,13.49375,13.35625,13.465625,13.6109375,13.5796875,13.465625,13.528125,13.4859375,13.5796875,13.528125,13.49375,13.55,13.528125,13.5453125,13.4890625,13.475,13.4421875,13.528125,13.4421875,13.49375,13.3453125,13.4984375,13.5734375,13.571875,13.4078125,13.534375,13.596875,13.5453125,13.49375,13.5171875,13.4859375,13.4859375,13.5015625,13.4890625,13.4765625,13.5078125,13.465625,13.5109375,13.440625,13.5984375,13.5453125,13.5625,13.4765625,13.5796875,13.5171875,13.5453125,13.540625,13.571875,13.5015625,13.5015625,13.528125,13.5453125,13.49375,13.5453125,13.51875,13.49375,13.4828125,13.528125,13.6,13.6359375,13.675,13.684375,13.5828125,13.4984375,13.5125,13.55625,13.6078125,13.6140625,13.590625,13.4828125,13.446875,13.5796875,13.665625,13.528125,13.4765625,13.596875,13.715625,13.653125,13.484375,13.540625,13.596875,13.596875,13.6125,13.5796875,13.54375,13.528125,13.578125,13.425,13.5625,13.6640625,13.7203125,13.6125,13.596875,13.659375,13.5828125,13.540625,13.540625,13.596875,13.5640625,13.5796875,13.528125,13.459375,13.4765625,13.5453125,13.5625,13.575,13.6359375,13.6421875,13.596875,13.6125,13.628125,13.659375,13.596875,13.540625,13.5796875,13.4890625,13.528125,13.465625,13.484375,13.665625,13.56875,13.690625,13.5625,13.5796875,13.659375,13.596875,13.56875,13.56875,13.596875,13.628125,13.5796875,13.5453125,13.6546875,13.56875,13.425,13.5453125,13.63125,13.596875,13.621875,13.621875,13.734375,13.7109375,13.715625,13.64375,13.596875,13.5796875,13.5796875,13.465625,13.5453125,13.5625,13.5453125,13.49375,13.446875,13.6203125,13.6828125,13.64375,13.5625,13.5453125,13.678125,13.678125,13.5796875,13.4609375,13.54375,13.5453125,13.5,13.540625,13.40625,13.63125,13.446875,13.596875,13.6484375,13.6484375,13.528125,13.496875,13.6125,13.590625,13.575,13.528125,13.528125,13.6484375,13.5453125,13.4265625,13.50625,13.4953125,13.6015625,13.528125,13.521875,13.59375,13.6484375,13.596875,13.5625,13.49375,13.5171875,13.5453125,13.4421875,13.428125,13.446875,13.5546875,13.6671875,13.4765625,13.4421875,13.48125,13.640625,13.528125,13.5796875,13.484375,13.596875,13.521875,13.578125,13.5796875,13.5453125,13.465625,13.50625,13.465625,13.371875
1.045,16.91875,15.8578125,16.009375,15.825,15.78125,15.8875,15.9234375,15.9484375,15.8921875,15.6796875,15.9484375,15.91875,15.909375,15.85625,15.909375,16.125,16.1671875,15.8421875,15.81875,15.909375,16.0046875,15.934375,15.8828125,15.8828125,15.94375,15.9609375,15.8828125,15.7796875,16.028125,16.0046875,15.9484375,15.984375,16.0625,15.9515625,15.821875,15.821875,15.8421875,16.0921875,15.9953125,15.984375,15.9328125,15.984375,15.94375,15.80625,15.909375,16.0453125,16.0453125,15.909375,15.984375,15.9265625,16.0453125,16.003125,15.94375,16.00625,15.984375,16.0046875,15.9484375,15.90625,15.9015625,15.984375,15.8640625,15.94375,15.7796875,15.9640625,16.0140625,16.028125,15.8421875,15.978125,16.053125,16.0046875,15.925,15.9828125,15.9515625,15.9515625,15.9359375,15.9484375,15.9359375,15.9921875,15.909375,15.9453125,15.896875,16.1015625,16.0234375,16.0125,15.9359375,16.0453125,15.9828125,15.9796875,16.009375,16.040625,15.9359375,15.9359375,15.959375,16.0046875,15.94375,15.9859375,15.94375,15.9625,15.9609375,15.984375,16.03125,16.1015625,16.175,16.153125,16.0234375,15.9390625,15.98125,16.05625,16.0734375,16.0734375,16.046875,15.9609375,15.915625,16.0140625,16.115625,15.984375,15.9421875,16.065625,16.184375,16.121875,15.953125,16.009375,16.065625,16.065625,16.1125,16.0453125,16.03125,15.971875,16.009375,15.89375,16.0125,16.1234375,16.1859375,16.1125,16.065625,16.128125,16.0234375,16.009375,16.009375,16.065625,15.9984375,16.0453125,15.984375,15.909375,15.9109375,15.9796875,16.00625,16.0625,16.1015625,16.1078125,16.065625,16.1125,16.096875,16.128125,16.065625,16.009375,16.0453125,15.9484375,15.984375,15.909375,15.953125,16.134375,16.0125,16.146875,16.05625,16.0453125,16.128125,16.065625,16.0375,16.0375,16.065625,16.096875,16.0453125,16.0046875,16.1390625,16.0125,15.85625,16.0046875,16.10625,16.046875,16.078125,16.115625,16.228125,16.1765625,16.184375,16.14375,16.096875,16.0453125,16.0453125,15.921875,16.0296875,16.0375,16.0046875,15.94375,15.915625,16.0984375,16.1671875,16.13125,16.05625,16.0046875,16.171875,16.171875,16.0453125,15.9203125,16.03125,16.0296875,15.94375,15.971875,15.85625,16.10625,15.903125,16.065625,16.1265625,16.1328125,15.984375,15.953125,16.1,16.046875,16.0625,15.984375,15.978125,16.1265625,15.9796875,15.8421875,15.93125,15.9984375,16.0796875,15.984375,15.990625,16.06875,16.1265625,16.040625,16.0125,15.94375,15.9953125,16.0234375,15.8828125,15.859375,15.903125,16.0328125,16.1703125,15.8984375,15.8828125,15.95625,16.084375,15.984375,16.0453125,15.953125,16.065625,15.990625,16.009375,16.0453125,16.0046875,15.909375,15.93125,15.909375,15.859375
1.17,19.51875,18.3421875,18.440625,18.275,18.20625,18.33125,18.4171875,18.4078125,18.3140625,18.1015625,18.3703125,18.375,18.353125,18.28125,18.290625,18.61875,18.6515625,18.2765625,18.278125,18.353125,18.4640625,18.403125,18.3234375,18.3234375,18.3875,18.4046875,18.2890625,18.2140625,18.496875,18.4640625,18.3890625,18.384375,18.5625,18.4109375,18.265625,18.246875,18.2765625,18.5703125,18.4796875,18.440625,18.3890625,18.440625,18.39375,18.25625,18.353125,18.4796875,18.4703125,18.353125,18.440625,18.3671875,18.5109375,18.44375,18.39375,18.4625,18.440625,18.4640625,18.4078125,18.3375,18.3609375,18.440625,18.3203125,18.39375,18.2140625,18.4296875,18.4984375,18.484375,18.2765625,18.421875,18.509375,18.4640625,18.35625,18.4171875,18.4171875,18.4171875,18.4015625,18.4078125,18.3609375,18.4484375,18.353125,18.3796875,18.309375,18.5671875,18.5015625,18.4625,18.3953125,18.5109375,18.4484375,18.4140625,18.45,18.509375,18.4015625,18.4015625,18.425,18.4640625,18.39375,18.4609375,18.409375,18.396875,18.4390625,18.440625,18.490625,18.5671875,18.675,18.621875,18.4921875,18.4078125,18.45,18.525,18.5390625,18.5328125,18.503125,18.4046875,18.384375,18.4828125,18.565625,18.440625,18.4078125,18.565625,18.653125,18.590625,18.421875,18.478125,18.50625,18.50625,18.58125,18.5109375,18.4875,18.415625,18.440625,18.3625,18.496875,18.6109375,18.6515625,18.58125,18.534375,18.596875,18.4921875,18.45,18.478125,18.565625,18.4640625,18.4765625,18.409375,18.359375,18.3796875,18.4484375,18.45,18.51875,18.5953125,18.5734375,18.534375,18.553125,18.565625,18.596875,18.534375,18.45,18.4796875,18.4078125,18.440625,18.353125,18.384375,18.603125,18.490625,18.634375,18.515625,18.5109375,18.628125,18.565625,18.50625,18.478125,18.534375,18.565625,18.5109375,18.4640625,18.5953125,18.490625,18.321875,18.4640625,18.58125,18.53125,18.565625,18.609375,18.69375,18.6421875,18.684375,18.6125,18.5625,18.5109375,18.5109375,18.378125,18.5140625,18.478125,18.4640625,18.4375,18.384375,18.5765625,18.6171875,18.5875,18.55,18.4984375,18.6375,18.6375,18.5109375,18.3796875,18.4875,18.4796875,18.3875,18.440625,18.30625,18.528125,18.359375,18.534375,18.6046875,18.6171875,18.46875,18.409375,18.5875,18.503125,18.51875,18.440625,18.4625,18.5703125,18.4140625,18.2984375,18.40625,18.4421875,18.5109375,18.440625,18.459375,18.54375,18.5703125,18.484375,18.496875,18.39375,18.4390625,18.4671875,18.3578125,18.328125,18.359375,18.4640625,18.6140625,18.3859375,18.3859375,18.38125,18.571875,18.484375,18.5109375,18.421875,18.56875,18.459375,18.478125,18.5109375,18.5046875,18.353125,18.35625,18.353125,18.346875
