2017/02/03 19:08:39
Time (sec),PTAT,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255
0.203,3.75,3.5671875,3.4875,3.515625,3.478125,3.571875,3.58125,3.5296875,3.5296875,3.5296875,3.5296875,3.4546875,3.50625,3.6234375,3.50625,3.478125,3.5671875,3.5859375,3.5296875,3.50625,3.5296875,3.54375,3.553125,3.553125,3.5578125,3.5578125,3.5015625,3.553125,3.54375,3.5296875,3.5015625,3.5203125,3.5859375,3.5296875,3.50625,3.534375,3.553125,3.5578125,3.5671875,3.5671875,3.5671875,3.5203125,3.5671875,3.5671875,3.50625,3.553125,3.534375,3.571875,3.5203125,3.5671875,3.5953125,3.553125,3.515625,3.5671875,3.571875,3.571875,3.58125,3.6234375,3.571875,3.5203125,3.5671875,3.5578125,3.553125,3.534375,3.5015625,3.5859375,3.553125,3.50625,3.571875,3.571875,3.58125,3.58125,3.58125,3.58125,3.58125,3.58125,3.571875,3.5203125,3.50625,3.54375,3.58125,3.534375,3.50625,3.5671875,3.571875,3.58125,3.58125,3.5859375,3.5859375,3.54375,3.5859375,3.58125,3.58125,3.5296875,3.5671875,3.553125,3.534375,3.54375,3.5578125,3.571875,3.5296875,3.534375,3.5859375,3.5859375,3.54375,3.54375,3.5859375,3.5859375,3.58125,3.58125,3.571875,3.5578125,3.54375,3.6,3.5671875,3.5203125,3.534375,3.5859375,3.5859375,3.54375,3.54375,3.5859375,3.54375,3.54375,3.5859375,3.534375,3.5203125,3.5578125,3.54375,3.54375,3.515625,3.571875,3.58125,3.54375,3.5859375,3.5859375,3.54375,3.54375,3.54375,3.5859375,3.5859375,3.534375,3.5203125,3.5578125,3.4921875,3.54375,3.5578125,3.571875,3.534375,3.534375,3.6328125,3.54375,3.54375,3.5859375,3.5859375,3.54375,3.534375,3.5296875,3.5203125,3.50625,3.54375,3.5953125,3.5578125,3.571875,3.58125,3.534375,3.54375,3.5859375,3.5859375,3.54375,3.54375,3.54375,3.58125,3.571875,3.5203125,3.50625,3.534375,3.5296875,3.553125,3.5671875,3.571875,3.534375,3.534375,3.5859375,3.54375,3.54375,3.5859375,3.58125,3.58125,3.571875,3.515625,3.553125,3.5296875,3.58125,3.5953125,3.5578125,3.5671875,3.5203125,3.58125,3.5296875,3.534375,3.58125,3.58125,3.58125,3.5203125,3.5671875,3.50625,3.54375,3.515625,3.6234375,3.5859375,3.54375,3.5578125,3.5671875,3.5671875,3.5203125,3.571875,3.571875,3.571875,3.5671875,3.5671875,3.5578125,3.54375,3.5203125,3.553125,3.5953125,3.5578125,3.5203125,3.5953125,3.553125,3.5578125,3.5578125,3.5671875,3.5671875,3.5578125,3.609375,3.553125,3.4875,3.5203125,3.5578125,3.50625,3.46875,3.5953125,3.553125,3.50625,3.5203125,3.5953125,3.54375,3.54375,3.54375,3.5953125,3.534375,3.5296875,3.571875,3.553125,3.50625,3.46875
0.281,5,4.75625,4.65,4.6875,4.6375,4.7625,4.775,4.70625,4.70625,4.70625,4.70625,4.60625,4.675,4.83125,4.675,4.6375,4.75625,4.78125,4.70625,4.675,4.70625,4.725,4.7375,4.7375,4.74375,4.74375,4.66875,4.7375,4.725,4.70625,4.66875,4.69375,4.78125,4.70625,4.675,4.7125,4.7375,4.74375,4.75625,4.75625,4.75625,4.69375,4.75625,4.75625,4.675,4.7375,4.7125,4.7625,4.69375,4.75625,4.79375,4.7375,4.6875,4.75625,4.7625,4.7625,4.775,4.83125,4.7625,4.69375,4.75625,4.74375,4.7375,4.7125,4.66875,4.78125,4.7375,4.675,4.7625,4.7625,4.775,4.775,4.775,4.775,4.775,4.775,4.7625,4.69375,4.675,4.725,4.775,4.7125,4.675,4.75625,4.7625,4.775,4.775,4.78125,4.78125,4.725,4.78125,4.775,4.775,4.70625,4.75625,4.7375,4.7125,4.725,4.74375,4.7625,4.70625,4.7125,4.78125,4.78125,4.725,4.725,4.78125,4.78125,4.775,4.775,4.7625,4.74375,4.725,4.8,4.75625,4.69375,4.7125,4.78125,4.78125,4.725,4.725,4.78125,4.725,4.725,4.78125,4.7125,4.69375,4.74375,4.725,4.725,4.6875,4.7625,4.775,4.725,4.78125,4.78125,4.725,4.725,4.725,4.78125,4.78125,4.7125,4.69375,4.74375,4.65625,4.725,4.74375,4.7625,4.7125,4.7125,4.84375,4.725,4.725,4.78125,4.78125,4.725,4.7125,4.70625,4.69375,4.675,4.725,4.79375,4.74375,4.7625,4.775,4.7125,4.725,4.78125,4.78125,4.725,4.725,4.725,4.775,4.7625,4.69375,4.675,4.7125,4.70625,4.7375,4.75625,4.7625,4.7125,4.7125,4.78125,4.725,4.725,4.78125,4.775,4.775,4.7625,4.6875,4.7375,4.70625,4.775,4.79375,4.74375,4.75625,4.69375,4.775,4.70625,4.7125,4.775,4.775,4.775,4.69375,4.75625,4.675,4.725,4.6875,4.83125,4.78125,4.725,4.74375,4.75625,4.75625,4.69375,4.7625,4.7625,4.7625,4.75625,4.75625,4.74375,4.725,4.69375,4.7375,4.79375,4.74375,4.69375,4.79375,4.7375,4.74375,4.74375,4.75625,4.75625,4.74375,4.8125,4.7375,4.65,4.69375,4.74375,4.675,4.625,4.79375,4.7375,4.675,4.69375,4.79375,4.725,4.725,4.725,4.79375,4.7125,4.70625,4.7625,4.7375,4.675,4.625
0.484,7.5,7.134375,7.0375,7.03125,7.00625,7.14375,7.1625,7.059375,7.059375,7.096875,7.059375,6.953125,7.0125,7.246875,7.071875,6.95625,7.134375,7.171875,7.059375,7.0125,7.059375,7.0875,7.10625,7.10625,7.15,7.115625,7.0375,7.10625,7.121875,7.059375,7.003125,7.040625,7.171875,7.059375,7.0125,7.06875,7.10625,7.115625,7.1,7.103125,7.134375,7.040625,7.1,7.1,7.046875,7.10625,7.06875,7.1,7.040625,7.090625,7.15,7.071875,7.065625,7.134375,7.14375,7.14375,7.1625,7.21875,7.14375,7.040625,7.134375,7.115625,7.10625,7.06875,7.003125,7.171875,7.10625,7.0125,7.14375,7.14375,7.1625,7.13125,7.1625,7.1625,7.1625,7.1625,7.14375,7.071875,7.08125,7.0875,7.1625,7.109375,7.046875,7.1,7.14375,7.1625,7.13125,7.14375,7.171875,7.0875,7.1375,7.13125,7.13125,7.059375,7.1,7.10625,7.06875,7.125,7.08125,7.14375,7.09375,7.06875,7.171875,7.14375,7.115625,7.115625,7.14375,7.14375,7.1625,7.1625,7.14375,7.115625,7.0875,7.2,7.134375,7.040625,7.1,7.171875,7.171875,7.0875,7.115625,7.171875,7.0875,7.115625,7.171875,7.06875,7.040625,7.115625,7.0875,7.0875,7.03125,7.115625,7.1625,7.115625,7.171875,7.14375,7.115625,7.0875,7.0875,7.14375,7.171875,7.1,7.040625,7.0875,7.05625,7.125,7.115625,7.109375,7.1,7.103125,7.20625,7.115625,7.0875,7.14375,7.14375,7.0875,7.06875,7.059375,7.040625,7.046875,7.0875,7.15625,7.115625,7.109375,7.1625,7.1,7.0875,7.14375,7.171875,7.0875,7.0875,7.0875,7.13125,7.115625,7.040625,7.046875,7.06875,7.059375,7.10625,7.134375,7.14375,7.06875,7.06875,7.1375,7.115625,7.0875,7.171875,7.13125,7.1625,7.109375,7.065625,7.10625,7.096875,7.1625,7.15625,7.115625,7.134375,7.075,7.1625,7.09375,7.1,7.1625,7.13125,7.1625,7.040625,7.1,7.046875,7.121875,7.03125,7.2,7.128125,7.0875,7.15,7.1,7.134375,7.075,7.14375,7.109375,7.109375,7.134375,7.134375,7.08125,7.0875,7.084375,7.10625,7.13125,7.115625,7.084375,7.15625,7.10625,7.115625,7.115625,7.134375,7.134375,7.08125,7.184375,7.10625,7.0125,7.040625,7.165625,7.071875,7.00625,7.128125,7.10625,7.05625,7.040625,7.190625,7.0875,7.121875,7.0875,7.15625,7.109375,7.096875,7.1,7.10625,7.071875,7.00625
0.609,8.75,8.3234375,8.2,8.203125,8.190625,8.3125,8.3359375,8.2359375,8.2359375,8.2734375,8.2359375,8.1265625,8.203125,8.43125,8.2703125,8.115625,8.3234375,8.3671875,8.2359375,8.18125,8.2546875,8.26875,8.2734375,8.290625,8.353125,8.3015625,8.221875,8.30625,8.303125,8.2359375,8.1921875,8.24375,8.334375,8.2359375,8.203125,8.246875,8.2703125,8.3015625,8.2890625,8.2765625,8.3234375,8.2296875,8.271875,8.271875,8.2328125,8.290625,8.246875,8.290625,8.24375,8.2796875,8.328125,8.25625,8.2546875,8.3078125,8.334375,8.334375,8.35625,8.4125,8.334375,8.23125,8.3234375,8.2875,8.290625,8.246875,8.1703125,8.3671875,8.290625,8.18125,8.334375,8.334375,8.35625,8.325,8.35625,8.35625,8.340625,8.35625,8.334375,8.2453125,8.2671875,8.2875,8.35625,8.2875,8.2328125,8.2890625,8.334375,8.35625,8.325,8.3390625,8.353125,8.2828125,8.3328125,8.309375,8.325,8.25,8.30625,8.290625,8.246875,8.325,8.2671875,8.3171875,8.2875,8.2625,8.353125,8.3390625,8.3109375,8.296875,8.325,8.3390625,8.35625,8.3390625,8.3171875,8.31875,8.26875,8.38125,8.3375,8.23125,8.278125,8.353125,8.3671875,8.2828125,8.296875,8.3671875,8.2828125,8.3109375,8.353125,8.2625,8.2140625,8.284375,8.26875,8.26875,8.2203125,8.30625,8.35625,8.296875,8.3671875,8.3390625,8.3109375,8.26875,8.2828125,8.3390625,8.35,8.29375,8.23125,8.2734375,8.2375,8.325,8.3015625,8.2828125,8.29375,8.2984375,8.3875,8.3109375,8.2828125,8.3390625,8.325,8.2828125,8.2625,8.253125,8.2140625,8.2328125,8.26875,8.3546875,8.31875,8.3,8.3390625,8.278125,8.2828125,8.325,8.353125,8.2828125,8.26875,8.26875,8.309375,8.30625,8.2296875,8.2328125,8.2671875,8.2546875,8.290625,8.340625,8.334375,8.246875,8.246875,8.3328125,8.3109375,8.26875,8.35,8.325,8.340625,8.3,8.271875,8.290625,8.2734375,8.35625,8.3546875,8.3015625,8.3234375,8.2828125,8.3390625,8.2875,8.29375,8.35625,8.309375,8.35625,8.23125,8.2890625,8.2328125,8.3203125,8.225,8.384375,8.3234375,8.2875,8.3359375,8.2890625,8.3234375,8.265625,8.334375,8.3,8.3,8.3234375,8.3234375,8.2671875,8.26875,8.2578125,8.290625,8.3296875,8.3015625,8.2796875,8.3375,8.290625,8.3015625,8.31875,8.3234375,8.3234375,8.2671875,8.3703125,8.290625,8.19375,8.2359375,8.3515625,8.240625,8.23125,8.3265625,8.290625,8.246875,8.2359375,8.36875,8.26875,8.3203125,8.26875,8.3375,8.3078125,8.2921875,8.26875,8.290625,8.2703125,8.196875
0.718,10,9.5125,9.3625,9.375,9.375,9.48125,9.509375,9.4125,9.4125,9.45,9.4125,9.3,9.39375,9.615625,9.46875,9.275,9.5125,9.5625,9.4125,9.35,9.45,9.45,9.440625,9.475,9.55625,9.4875,9.40625,9.50625,9.484375,9.4125,9.38125,9.446875,9.496875,9.4125,9.39375,9.425,9.434375,9.4875,9.478125,9.45,9.5125,9.41875,9.44375,9.44375,9.41875,9.475,9.425,9.48125,9.446875,9.46875,9.50625,9.440625,9.44375,9.48125,9.525,9.525,9.55,9.60625,9.525,9.421875,9.5125,9.459375,9.475,9.425,9.3375,9.5625,9.475,9.35,9.525,9.525,9.55,9.51875,9.55,9.55,9.51875,9.55,9.525,9.41875,9.453125,9.4875,9.55,9.465625,9.41875,9.478125,9.525,9.55,9.51875,9.534375,9.534375,9.478125,9.528125,9.4875,9.51875,9.440625,9.5125,9.475,9.425,9.525,9.453125,9.490625,9.48125,9.45625,9.534375,9.534375,9.50625,9.478125,9.50625,9.534375,9.55,9.515625,9.490625,9.521875,9.45,9.5625,9.540625,9.421875,9.45625,9.534375,9.5625,9.478125,9.478125,9.5625,9.478125,9.50625,9.534375,9.45625,9.3875,9.453125,9.45,9.45,9.409375,9.496875,9.55,9.478125,9.5625,9.534375,9.50625,9.45,9.478125,9.534375,9.528125,9.4875,9.421875,9.459375,9.41875,9.525,9.4875,9.45625,9.4875,9.49375,9.56875,9.50625,9.478125,9.534375,9.50625,9.478125,9.45625,9.446875,9.3875,9.41875,9.45,9.553125,9.521875,9.490625,9.515625,9.45625,9.478125,9.50625,9.534375,9.478125,9.45,9.45,9.4875,9.496875,9.41875,9.41875,9.465625,9.45,9.475,9.546875,9.525,9.425,9.425,9.528125,9.50625,9.45,9.528125,9.51875,9.51875,9.490625,9.478125,9.475,9.45,9.55,9.553125,9.4875,9.5125,9.490625,9.515625,9.48125,9.4875,9.55,9.4875,9.55,9.421875,9.478125,9.41875,9.51875,9.41875,9.56875,9.51875,9.4875,9.521875,9.478125,9.5125,9.45625,9.525,9.490625,9.490625,9.5125,9.5125,9.453125,9.45,9.43125,9.475,9.528125,9.4875,9.475,9.51875,9.475,9.4875,9.521875,9.5125,9.5125,9.453125,9.55625,9.475,9.375,9.43125,9.5375,9.409375,9.45625,9.525,9.475,9.4375,9.43125,9.546875,9.45,9.51875,9.45,9.51875,9.50625,9.4875,9.4375,9.475,9.46875,9.3875
0.921,12.5,11.890625,11.71875,11.71875,11.74375,11.840625,11.85625,11.765625,11.765625,11.803125,11.765625,11.646875,11.775,12.0078125,11.8359375,11.628125,11.890625,11.921875,11.765625,11.709375,11.821875,11.8125,11.7921875,11.84375,11.9453125,11.859375,11.775,11.890625,11.846875,11.765625,11.759375,11.8234375,11.821875,11.7921875,11.753125,11.78125,11.7828125,11.859375,11.8390625,11.796875,11.890625,11.78125,11.7875,11.8046875,11.790625,11.84375,11.78125,11.8625,11.8234375,11.846875,11.8625,11.825,11.821875,11.84375,11.90625,11.90625,11.9375,11.99375,11.90625,11.803125,11.890625,11.8171875,11.84375,11.78125,11.671875,11.953125,11.84375,11.7046875,11.90625,11.90625,11.9375,11.90625,11.9546875,11.9375,11.890625,11.9515625,11.90625,11.765625,11.825,11.86875,11.9171875,11.821875,11.8078125,11.85625,11.8921875,11.9375,11.90625,11.925,11.896875,11.86875,11.91875,11.84375,11.90625,11.821875,11.9078125,11.84375,11.8015625,11.925,11.8078125,11.8546875,11.86875,11.828125,11.896875,11.925,11.8828125,11.8546875,11.86875,11.925,11.921875,11.86875,11.8546875,11.9109375,11.79375,11.94375,11.9328125,11.803125,11.8125,11.896875,11.953125,11.8546875,11.840625,11.9390625,11.8546875,11.8828125,11.896875,11.84375,11.734375,11.8078125,11.8125,11.83125,11.7875,11.878125,11.9375,11.8546875,11.953125,11.925,11.896875,11.8125,11.86875,11.925,11.9015625,11.859375,11.803125,11.83125,11.78125,11.90625,11.859375,11.8203125,11.859375,11.884375,11.9453125,11.8828125,11.8546875,11.925,11.8828125,11.8546875,11.84375,11.8171875,11.734375,11.7734375,11.83125,11.9328125,11.9109375,11.871875,11.8859375,11.828125,11.8546875,11.8828125,11.9109375,11.840625,11.8125,11.8125,11.84375,11.8640625,11.796875,11.790625,11.8421875,11.821875,11.84375,11.9421875,11.8890625,11.78125,11.78125,11.9015625,11.8828125,11.8125,11.884375,11.90625,11.875,11.871875,11.8734375,11.8265625,11.803125,11.9375,11.95,11.859375,11.9078125,11.8890625,11.8859375,11.8515625,11.875,11.9375,11.84375,11.9375,11.803125,11.8390625,11.790625,11.8984375,11.80625,11.9375,11.909375,11.8875,11.89375,11.8390625,11.890625,11.8375,11.8890625,11.871875,11.8875,11.875,11.890625,11.825,11.8125,11.8,11.84375,11.925,11.859375,11.84375,11.8984375,11.84375,11.859375,11.9109375,11.890625,11.890625,11.8078125,11.928125,11.84375,11.7375,11.8,11.909375,11.746875,11.871875,11.921875,11.84375,11.81875,11.8,11.9234375,11.8125,11.8984375,11.8125,11.8984375,11.8828125,11.859375,11.796875,11.84375,11.8359375,11.76875
1.092,15,14.26875,14.10625,14.0625,14.1125,14.221875,14.203125,14.11875,14.11875,14.15625,14.11875,13.99375,14.15625,14.4234375,14.1734375,14.015625,14.26875,14.25,14.11875,14.090625,14.175,14.175,14.1609375,14.2125,14.3171875,14.23125,14.14375,14.259375,14.209375,14.11875,14.1375,14.1703125,14.146875,14.1984375,14.090625,14.1375,14.1515625,14.23125,14.1828125,14.14375,14.26875,14.128125,14.13125,14.1828125,14.1625,14.2125,14.1375,14.24375,14.1703125,14.225,14.21875,14.225,14.2,14.221875,14.2875,14.2875,14.325,14.38125,14.2875,14.184375,14.26875,14.1890625,14.2125,14.1375,14.00625,14.34375,14.2125,14.0765625,14.2875,14.2875,14.325,14.29375,14.3765625,14.325,14.278125,14.3671875,14.2875,14.1125,14.196875,14.23125,14.2640625,14.178125,14.2140625,14.234375,14.2453125,14.325,14.29375,14.315625,14.259375,14.259375,14.309375,14.2,14.29375,14.203125,14.2859375,14.2125,14.1984375,14.325,14.1453125,14.2359375,14.25625,14.184375,14.259375,14.315625,14.2453125,14.2453125,14.23125,14.315625,14.278125,14.221875,14.2359375,14.2828125,14.11875,14.34375,14.3109375,14.184375,14.16875,14.259375,14.34375,14.2171875,14.203125,14.3015625,14.2171875,14.2453125,14.259375,14.23125,14.08125,14.1796875,14.175,14.23125,14.165625,14.259375,14.325,14.2453125,14.34375,14.315625,14.2875,14.175,14.259375,14.315625,14.2921875,14.215625,14.184375,14.203125,14.14375,14.26875,14.23125,14.2015625,14.215625,14.275,14.3359375,14.2453125,14.2171875,14.315625,14.2734375,14.2171875,14.23125,14.1703125,14.08125,14.1109375,14.23125,14.2953125,14.2828125,14.253125,14.2734375,14.215625,14.2171875,14.2734375,14.3015625,14.175,14.175,14.175,14.2,14.2171875,14.175,14.1625,14.1984375,14.175,14.2125,14.3203125,14.2359375,14.1375,14.1375,14.2578125,14.2453125,14.175,14.240625,14.29375,14.23125,14.253125,14.2515625,14.1609375,14.15625,14.325,14.346875,14.23125,14.3203125,14.2703125,14.2734375,14.2046875,14.2625,14.325,14.2,14.325,14.184375,14.1828125,14.1625,14.2609375,14.19375,14.30625,14.3,14.2875,14.265625,14.1828125,14.26875,14.21875,14.2359375,14.253125,14.3,14.221875,14.26875,14.196875,14.175,14.190625,14.2125,14.321875,14.23125,14.190625,14.2953125,14.2125,14.23125,14.2828125,14.26875,14.26875,14.1453125,14.3,14.2125,14.1,14.146875,14.28125,14.084375,14.253125,14.31875,14.2125,14.2,14.146875,14.3203125,14.175,14.2609375,14.175,14.2953125,14.2390625,14.2125,14.178125,14.2125,14.1734375,14.15
1.264,18.75,17.8359375,17.6875,17.578125,17.590625,17.728125,17.784375,17.6484375,17.6484375,17.6859375,17.6484375,17.5140625,17.6625,17.9765625,17.76875,17.596875,17.8359375,17.8359375,17.6484375,17.596875,17.7046875,17.71875,17.6625,17.765625,17.875,17.7890625,17.6453125,17.8125,17.753125,17.6484375,17.6390625,17.7796875,17.634375,17.728125,17.6625,17.671875,17.7046875,17.7375,17.75,17.7109375,17.7890625,17.6953125,17.6984375,17.6984375,17.7203125,17.765625,17.671875,17.75,17.690625,17.7921875,17.753125,17.778125,17.809375,17.7890625,17.859375,17.9109375,17.90625,17.9625,17.859375,17.75625,17.8359375,17.7046875,17.765625,17.671875,17.5078125,17.9296875,17.765625,17.634375,17.859375,17.859375,17.9484375,17.875,17.9578125,17.90625,17.859375,17.9484375,17.859375,17.6328125,17.7546875,17.775,17.8453125,17.7125,17.7203125,17.75,17.86875,17.859375,17.828125,17.9015625,17.8453125,17.8453125,17.8953125,17.78125,17.875,17.775,17.853125,17.765625,17.7328125,17.86875,17.703125,17.8078125,17.7859375,17.765625,17.8453125,17.859375,17.7890625,17.83125,17.8171875,17.859375,17.859375,17.803125,17.75625,17.7890625,17.7140625,17.94375,17.878125,17.7046875,17.75,17.803125,17.8875,17.803125,17.7890625,17.8453125,17.7609375,17.83125,17.803125,17.765625,17.653125,17.7375,17.71875,17.83125,17.7328125,17.83125,17.859375,17.83125,17.9296875,17.859375,17.83125,17.7609375,17.803125,17.9015625,17.878125,17.796875,17.7046875,17.71875,17.6875,17.86875,17.7890625,17.721875,17.796875,17.809375,17.8796875,17.83125,17.803125,17.859375,17.8171875,17.803125,17.8125,17.7,17.6015625,17.66875,17.775,17.8390625,17.840625,17.825,17.803125,17.796875,17.803125,17.8171875,17.8453125,17.7609375,17.7609375,17.71875,17.734375,17.7890625,17.6953125,17.66875,17.7328125,17.7609375,17.765625,17.8875,17.8078125,17.71875,17.671875,17.84375,17.83125,17.71875,17.775,17.875,17.765625,17.7734375,17.81875,17.7140625,17.6859375,17.840625,17.890625,17.7890625,17.8359375,17.8421875,17.8546875,17.734375,17.796875,17.90625,17.78125,17.8546875,17.75625,17.75,17.66875,17.8046875,17.775,17.859375,17.8203125,17.8875,17.875,17.75,17.8359375,17.790625,17.8078125,17.825,17.871875,17.7890625,17.8359375,17.7546875,17.71875,17.7109375,17.690625,17.9171875,17.7890625,17.7765625,17.8390625,17.8125,17.7890625,17.840625,17.8359375,17.8359375,17.6515625,17.8578125,17.765625,17.64375,17.6671875,17.8390625,17.6796875,17.721875,17.9140625,17.8359375,17.771875,17.6671875,17.915625,17.71875,17.8046875,17.71875,17.890625,17.7734375,17.7421875,17.75,17.765625,17.6796875,17.721875
1.342,20,18.990625,18.88125,18.75,18.75,18.91875,18.9578125,18.825,18.8046875,18.8625,18.825,18.6875,18.83125,19.1609375,18.9671875,18.75625,19.025,19.03125,18.825,18.765625,18.88125,18.9,18.8296875,18.95,19.0609375,18.975,18.8296875,18.996875,18.934375,18.825,18.80625,18.953125,18.796875,18.878125,18.853125,18.85,18.8890625,18.90625,18.9390625,18.9171875,18.978125,18.86875,18.8703125,18.8703125,18.8890625,18.95,18.85,18.91875,18.8640625,18.98125,18.9125,18.9625,18.9984375,18.978125,19.05,19.1015625,19.1,19.15625,19.0359375,18.946875,19.009375,18.8765625,18.95,18.85,18.675,19.103125,18.95,18.8203125,19.05,19.05,19.1421875,19.06875,19.1515625,19.1,19.053125,19.125,19.0359375,18.821875,18.9234375,18.9390625,19.01875,18.890625,18.90625,18.9390625,19.059375,19.053125,19.00625,19.096875,19.040625,19.0265625,19.0734375,18.975,19.053125,18.9515625,19.0421875,18.96875,18.9109375,19.05,18.8890625,18.9984375,18.9625,18.959375,19.040625,19.040625,18.9703125,19.0125,18.9984375,19.040625,19.053125,18.996875,18.9296875,18.9578125,18.9125,19.125,19.05,18.8953125,18.94375,18.984375,19.0828125,18.9984375,18.984375,19.0265625,18.9421875,19.0265625,18.9984375,18.94375,18.84375,18.9234375,18.88125,19.0125,18.921875,19.0078125,19.053125,19.0265625,19.125,19.040625,19.0125,18.95625,18.984375,19.096875,19.0734375,18.990625,18.878125,18.9046875,18.8875,19.05,18.975,18.9125,18.990625,18.9875,19.075,19.0265625,18.984375,19.040625,19.0125,18.984375,18.990625,18.8765625,18.7921875,18.8375,18.9375,19.0375,19.0265625,19.015625,18.9796875,18.975,18.9984375,18.9984375,19.0265625,18.95625,18.9421875,18.9,18.928125,18.9796875,18.86875,18.8546875,18.93125,18.9375,18.95,19.09375,18.9984375,18.896875,18.85,19.0390625,19.0125,18.9,18.9703125,19.06875,18.94375,18.9640625,19.0078125,18.8984375,18.8625,19.034375,19.0890625,18.975,19.025,19.05,19.0484375,18.9109375,18.990625,19.1,18.975,19.03125,18.946875,18.9390625,18.8375,18.9859375,18.96875,19.04375,18.99375,19.0875,19.078125,18.9390625,19.025,18.98125,18.9984375,19.015625,19.0453125,18.978125,19.025,18.940625,18.9,18.884375,18.875,19.0859375,19,18.971875,19.0203125,19.0125,18.9921875,19.0265625,19.025,19.025,18.8375,19.04375,18.95,18.8421875,18.840625,19.025,18.8484375,18.9125,19.08125,19.0203125,18.9625,18.840625,19.09375,18.9,18.9859375,18.9,19.071875,18.9515625,18.91875,18.91875,18.95,18.878125,18.9125
1.451,22.5,21.3,21.26875,21.09375,21.06875,21.3,21.3046875,21.178125,21.1171875,21.215625,21.178125,21.034375,21.16875,21.5296875,21.3640625,21.075,21.403125,21.421875,21.178125,21.103125,21.234375,21.2625,21.1640625,21.31875,21.4328125,21.346875,21.1984375,21.365625,21.296875,21.178125,21.140625,21.3,21.121875,21.178125,21.234375,21.20625,21.2578125,21.24375,21.3171875,21.3296875,21.35625,21.215625,21.2140625,21.2140625,21.2265625,21.31875,21.20625,21.25625,21.2109375,21.359375,21.23125,21.33125,21.3765625,21.35625,21.43125,21.4828125,21.4875,21.54375,21.3890625,21.328125,21.35625,21.2203125,21.31875,21.20625,21.009375,21.45,21.31875,21.1921875,21.43125,21.43125,21.5296875,21.45625,21.5390625,21.4875,21.440625,21.478125,21.3890625,21.2,21.2609375,21.2671875,21.365625,21.246875,21.278125,21.3171875,21.440625,21.440625,21.3625,21.4875,21.43125,21.3890625,21.4296875,21.3625,21.409375,21.3046875,21.4203125,21.375,21.2671875,21.4125,21.2609375,21.3796875,21.315625,21.346875,21.43125,21.403125,21.3328125,21.375,21.3609375,21.403125,21.440625,21.384375,21.2765625,21.2953125,21.309375,21.4875,21.39375,21.2765625,21.33125,21.346875,21.4734375,21.3890625,21.375,21.3890625,21.3046875,21.4171875,21.3890625,21.3,21.225,21.2953125,21.20625,21.375,21.3,21.3609375,21.440625,21.4171875,21.515625,21.403125,21.375,21.346875,21.346875,21.4875,21.4640625,21.378125,21.225,21.2765625,21.2875,21.4125,21.346875,21.29375,21.378125,21.34375,21.465625,21.4171875,21.346875,21.403125,21.403125,21.346875,21.346875,21.2296875,21.1734375,21.175,21.2625,21.434375,21.3984375,21.396875,21.3328125,21.33125,21.3890625,21.3609375,21.3890625,21.346875,21.3046875,21.2625,21.315625,21.3609375,21.215625,21.2265625,21.328125,21.290625,21.31875,21.50625,21.3796875,21.253125,21.20625,21.4296875,21.375,21.2625,21.3609375,21.45625,21.3,21.3453125,21.3859375,21.2671875,21.215625,21.421875,21.4859375,21.346875,21.403125,21.465625,21.4359375,21.2640625,21.378125,21.4875,21.3625,21.384375,21.328125,21.3171875,21.175,21.3484375,21.35625,21.4125,21.340625,21.4875,21.484375,21.3171875,21.403125,21.3625,21.3796875,21.396875,21.3921875,21.35625,21.403125,21.3125,21.2625,21.23125,21.24375,21.4234375,21.421875,21.3625,21.3828125,21.4125,21.3984375,21.3984375,21.403125,21.403125,21.209375,21.415625,21.31875,21.2390625,21.1875,21.396875,21.1859375,21.29375,21.415625,21.3890625,21.34375,21.1875,21.45,21.2625,21.3484375,21.2625,21.434375,21.3078125,21.271875,21.25625,21.31875,21.275,21.29375
