2017/02/09 16:58:22
Time (sec),PTAT,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255
0.203,3.8765625,3.5953125,3.7125,3.646875,3.54375,3.571875,3.5953125,3.6609375,3.6,3.6,3.6609375,3.6515625,3.571875,3.609375,3.6375,3.609375,3.6984375,3.6234375,3.6609375,3.6375,3.6609375,3.61875,3.571875,3.6328125,3.6375,3.6375,3.58125,3.6234375,3.61875,3.6,3.5671875,3.6515625,3.7171875,3.6609375,3.6375,3.609375,3.6234375,3.6375,3.5953125,3.6,3.6515625,3.6515625,3.6,3.646875,3.6375,3.684375,3.665625,3.571875,3.6515625,3.6984375,3.665625,3.6328125,3.646875,3.6515625,3.6515625,3.609375,3.61875,3.6609375,3.6609375,3.609375,3.6,3.646875,3.6234375,3.665625,3.6328125,3.5953125,3.6234375,3.6375,3.6,3.61875,3.61875,3.665625,3.6234375,3.6234375,3.6234375,3.6609375,3.6609375,3.6515625,3.6375,3.6234375,3.6515625,3.609375,3.58125,3.646875,3.6609375,3.61875,3.6234375,3.6234375,3.6328125,3.6328125,3.665625,3.6234375,3.7125,3.7546875,3.646875,3.6328125,3.665625,3.675,3.6375,3.609375,3.61875,3.6234375,3.6328125,3.6328125,3.6328125,3.675,3.6328125,3.6328125,3.665625,3.7125,3.75,3.6375,3.61875,3.6234375,3.646875,3.6515625,3.61875,3.6234375,3.6328125,3.6328125,3.6328125,3.6328125,3.675,3.675,3.675,3.665625,3.75,3.7875,3.675,3.6234375,3.5953125,3.609375,3.665625,3.675,3.675,3.6328125,3.6328125,3.675,3.6328125,3.6328125,3.665625,3.7125,3.796875,3.740625,3.73125,3.675,3.6890625,3.6515625,3.61875,3.665625,3.675,3.6328125,3.6328125,3.675,3.675,3.675,3.6234375,3.7125,3.796875,3.6890625,3.675,3.61875,3.6375,3.6515625,3.61875,3.6234375,3.675,3.675,3.6328125,3.675,3.675,3.675,3.7125,3.6609375,3.6515625,3.6890625,3.665625,3.6609375,3.6328125,3.6984375,3.703125,3.665625,3.6234375,3.665625,3.6328125,3.675,3.6234375,3.665625,3.665625,3.6515625,3.646875,3.6328125,3.6,3.646875,3.675,3.6375,3.646875,3.6515625,3.6609375,3.6609375,3.6234375,3.665625,3.665625,3.6609375,3.6515625,3.6984375,3.6890625,3.61875,3.58125,3.684375,3.6515625,3.675,3.6375,3.646875,3.6515625,3.6515625,3.6515625,3.6515625,3.6515625,3.6984375,3.6984375,3.6890625,3.675,3.6515625,3.684375,3.6375,3.61875,3.6515625,3.675,3.6328125,3.6375,3.6375,3.6984375,3.646875,3.6375,3.6890625,3.684375,3.675,3.5953125,3.61875,3.6375,3.703125,3.6328125,3.609375,3.703125,3.6515625,3.665625,3.675,3.61875,3.675,3.675,3.609375,3.6609375,3.6375,3.684375,3.6375,3.6
0.281,5.16875,4.79375,4.95,4.8625,4.725,4.7625,4.79375,4.88125,4.8,4.8,4.88125,4.86875,4.7625,4.8125,4.85,4.8125,4.93125,4.83125,4.88125,4.85,4.88125,4.825,4.7625,4.84375,4.85,4.85,4.775,4.83125,4.825,4.8,4.75625,4.86875,4.95625,4.88125,4.85,4.8125,4.83125,4.85,4.79375,4.8,4.86875,4.86875,4.8,4.8625,4.85,4.9125,4.8875,4.7625,4.86875,4.93125,4.8875,4.84375,4.8625,4.86875,4.86875,4.8125,4.825,4.88125,4.88125,4.8125,4.8,4.8625,4.83125,4.8875,4.84375,4.79375,4.83125,4.85,4.8,4.825,4.825,4.8875,4.83125,4.83125,4.83125,4.88125,4.88125,4.86875,4.85,4.83125,4.86875,4.8125,4.775,4.8625,4.88125,4.825,4.83125,4.83125,4.84375,4.84375,4.8875,4.83125,4.95,5.00625,4.8625,4.84375,4.8875,4.9,4.85,4.8125,4.825,4.83125,4.84375,4.84375,4.84375,4.9,4.84375,4.84375,4.8875,4.95,5,4.85,4.825,4.83125,4.8625,4.86875,4.825,4.83125,4.84375,4.84375,4.84375,4.84375,4.9,4.9,4.9,4.8875,5,5.05,4.9,4.83125,4.79375,4.8125,4.8875,4.9,4.9,4.84375,4.84375,4.9,4.84375,4.84375,4.8875,4.95,5.0625,4.9875,4.975,4.9,4.91875,4.86875,4.825,4.8875,4.9,4.84375,4.84375,4.9,4.9,4.9,4.83125,4.95,5.0625,4.91875,4.9,4.825,4.85,4.86875,4.825,4.83125,4.9,4.9,4.84375,4.9,4.9,4.9,4.95,4.88125,4.86875,4.91875,4.8875,4.88125,4.84375,4.93125,4.9375,4.8875,4.83125,4.8875,4.84375,4.9,4.83125,4.8875,4.8875,4.86875,4.8625,4.84375,4.8,4.8625,4.9,4.85,4.8625,4.86875,4.88125,4.88125,4.83125,4.8875,4.8875,4.88125,4.86875,4.93125,4.91875,4.825,4.775,4.9125,4.86875,4.9,4.85,4.8625,4.86875,4.86875,4.86875,4.86875,4.86875,4.93125,4.93125,4.91875,4.9,4.86875,4.9125,4.85,4.825,4.86875,4.9,4.84375,4.85,4.85,4.93125,4.8625,4.85,4.91875,4.9125,4.9,4.79375,4.825,4.85,4.9375,4.84375,4.8125,4.9375,4.86875,4.8875,4.9,4.825,4.9,4.9,4.8125,4.88125,4.85,4.9125,4.85,4.8
0.499,7.69375,7.19375,7.296875,7.23125,7.115625,7.125,7.128125,7.21875,7.178125,7.178125,7.259375,7.240625,7.125,7.15625,7.2125,7.225,7.33125,7.184375,7.20625,7.2125,7.259375,7.171875,7.11875,7.234375,7.246875,7.2125,7.13125,7.221875,7.2125,7.1375,7.1125,7.240625,7.371875,7.20625,7.2125,7.19375,7.221875,7.2125,7.1625,7.1375,7.26875,7.240625,7.1375,7.23125,7.246875,7.265625,7.23125,7.125,7.240625,7.2875,7.26875,7.2,7.23125,7.240625,7.240625,7.15625,7.203125,7.259375,7.259375,7.184375,7.171875,7.23125,7.184375,7.23125,7.2,7.209375,7.184375,7.2125,7.171875,7.203125,7.20625,7.240625,7.184375,7.2125,7.2125,7.228125,7.259375,7.240625,7.2125,7.184375,7.240625,7.234375,7.1375,7.23125,7.259375,7.2375,7.2125,7.184375,7.23125,7.23125,7.26875,7.184375,7.33125,7.384375,7.23125,7.2,7.26875,7.325,7.246875,7.184375,7.203125,7.2125,7.23125,7.2,7.2,7.2875,7.23125,7.2,7.26875,7.328125,7.371875,7.2125,7.171875,7.21875,7.2625,7.240625,7.20625,7.21875,7.23125,7.2,7.23125,7.23125,7.2875,7.2875,7.2875,7.26875,7.371875,7.378125,7.246875,7.21875,7.19375,7.190625,7.26875,7.2875,7.2875,7.2,7.23125,7.2875,7.23125,7.2,7.240625,7.33125,7.434375,7.35625,7.328125,7.2875,7.315625,7.275,7.20625,7.303125,7.2875,7.23125,7.23125,7.2875,7.315625,7.2875,7.2125,7.328125,7.434375,7.28125,7.246875,7.2125,7.246875,7.240625,7.203125,7.2125,7.2875,7.2875,7.2,7.2875,7.315625,7.315625,7.33125,7.259375,7.240625,7.315625,7.26875,7.259375,7.26875,7.33125,7.309375,7.26875,7.2125,7.303125,7.23125,7.2875,7.246875,7.3,7.26875,7.240625,7.23125,7.2,7.1375,7.23125,7.2875,7.246875,7.2625,7.240625,7.29375,7.29375,7.2125,7.3,7.3,7.29375,7.275,7.3,7.28125,7.171875,7.14375,7.25,7.240625,7.2875,7.246875,7.2625,7.240625,7.240625,7.275,7.275,7.240625,7.303125,7.33125,7.315625,7.253125,7.203125,7.25625,7.2125,7.171875,7.240625,7.2875,7.234375,7.2125,7.2125,7.33125,7.2625,7.2125,7.28125,7.303125,7.2875,7.165625,7.171875,7.2125,7.34375,7.2,7.15625,7.3,7.284375,7.26875,7.246875,7.171875,7.2875,7.2875,7.19375,7.215625,7.2125,7.25625,7.153125,7.1375
0.687,10.21875,9.59375,9.709375,9.540625,9.459375,9.4875,9.4625,9.596875,9.515625,9.55625,9.6375,9.56875,9.4875,9.546875,9.575,9.56875,9.73125,9.6,9.584375,9.575,9.6375,9.51875,9.475,9.625,9.64375,9.575,9.4875,9.575,9.559375,9.475,9.46875,9.6125,9.71875,9.584375,9.61875,9.5375,9.575,9.575,9.53125,9.509375,9.640625,9.640625,9.50625,9.565625,9.609375,9.65625,9.575,9.4875,9.6125,9.64375,9.6125,9.55625,9.63125,9.6125,9.584375,9.534375,9.58125,9.60625,9.603125,9.55625,9.54375,9.6,9.575,9.6125,9.55625,9.58125,9.575,9.575,9.54375,9.58125,9.5875,9.59375,9.565625,9.59375,9.59375,9.575,9.6375,9.6125,9.575,9.5375,9.6125,9.615625,9.5,9.6,9.6375,9.61875,9.565625,9.571875,9.61875,9.5875,9.621875,9.565625,9.7125,9.728125,9.6,9.55625,9.6125,9.7125,9.609375,9.55625,9.58125,9.59375,9.61875,9.55625,9.55625,9.675,9.61875,9.55625,9.65,9.70625,9.709375,9.540625,9.51875,9.60625,9.63125,9.6125,9.5875,9.60625,9.5875,9.5875,9.61875,9.61875,9.64375,9.675,9.675,9.615625,9.715625,9.775,9.59375,9.60625,9.5625,9.596875,9.65,9.675,9.675,9.5875,9.5875,9.675,9.646875,9.5875,9.59375,9.7125,9.80625,9.725,9.68125,9.7125,9.678125,9.646875,9.5875,9.684375,9.675,9.5875,9.61875,9.675,9.703125,9.675,9.59375,9.70625,9.778125,9.64375,9.634375,9.6,9.609375,9.6125,9.58125,9.59375,9.675,9.703125,9.5875,9.64375,9.73125,9.703125,9.7125,9.6375,9.640625,9.678125,9.615625,9.6375,9.659375,9.73125,9.68125,9.68125,9.59375,9.684375,9.61875,9.703125,9.628125,9.68125,9.65,9.6125,9.6,9.590625,9.515625,9.6,9.634375,9.64375,9.6625,9.646875,9.70625,9.70625,9.59375,9.68125,9.7125,9.671875,9.646875,9.66875,9.678125,9.559375,9.5125,9.640625,9.6125,9.675,9.64375,9.6625,9.640625,9.6125,9.646875,9.68125,9.6125,9.675,9.7,9.7125,9.640625,9.575,9.646875,9.634375,9.51875,9.6125,9.675,9.625,9.575,9.609375,9.73125,9.63125,9.575,9.678125,9.69375,9.634375,9.5375,9.51875,9.575,9.68125,9.621875,9.546875,9.6625,9.65625,9.65,9.634375,9.559375,9.675,9.675,9.575,9.59375,9.61875,9.646875,9.45625,9.475
0.858,12.74375,11.99375,12.121875,11.8796875,11.803125,11.85,11.815625,11.9546875,11.8734375,11.934375,11.9953125,11.896875,11.871875,11.9375,11.9375,11.9125,12.13125,11.984375,11.9625,11.959375,12.015625,11.865625,11.83125,12.015625,12.0234375,11.9375,11.8609375,11.946875,11.9265625,11.8328125,11.825,11.984375,12.065625,11.9625,12.025,11.9,11.928125,11.9375,11.915625,11.88125,11.9953125,12.0265625,11.875,11.9171875,11.9546875,12.046875,11.9375,11.85,11.9578125,12,11.975,11.9125,12.015625,11.984375,11.9421875,11.9125,11.959375,11.96875,11.946875,11.928125,11.915625,11.9828125,11.946875,11.99375,11.934375,11.953125,11.946875,11.9546875,11.9328125,11.959375,11.9515625,11.9609375,11.946875,11.9609375,11.9609375,11.9375,12.015625,11.984375,11.9375,11.9078125,11.984375,11.996875,11.8625,11.984375,12.015625,11.9828125,11.9328125,11.9421875,11.990625,11.959375,11.9890625,11.946875,12.0765625,12.0890625,11.96875,11.9296875,11.95625,12.1,11.9890625,11.928125,11.959375,11.975,12.00625,11.9125,11.928125,12.0625,11.990625,11.928125,12.03125,12.084375,12.046875,11.8859375,11.8859375,11.99375,12,11.984375,11.984375,11.99375,11.94375,11.959375,12.00625,12.00625,12,12.0625,12.0453125,11.9796875,12.0734375,12.1546875,11.940625,11.9765625,11.946875,12.003125,12.03125,12.0625,12.0625,11.975,11.94375,12.046875,12.0484375,11.975,11.946875,12.09375,12.178125,12.09375,12.034375,12.11875,12.0578125,12.01875,11.96875,12.065625,12.0625,11.94375,12.00625,12.0765625,12.090625,12.0625,11.975,12.084375,12.1359375,12.00625,12.0015625,11.9875,11.971875,11.984375,11.959375,11.990625,12.0625,12.1046875,11.9890625,12.015625,12.1328125,12.090625,12.09375,12.015625,12.0265625,12.0578125,11.9625,12.015625,12.05,12.13125,12.053125,12.078125,11.990625,12.0828125,12.00625,12.1046875,12.009375,12.078125,12.03125,11.984375,11.96875,11.98125,11.89375,11.96875,12.01875,12.040625,12.046875,12.0359375,12.11875,12.11875,11.990625,12.078125,12.125,12.05,12.01875,12.053125,12.075,11.9265625,11.88125,12.03125,11.984375,12.0625,12.040625,12.0625,12.0265625,11.984375,12.01875,12.0875,12.0015625,12.046875,12.06875,12.109375,12.0109375,11.946875,12.0375,12.0265625,11.890625,11.984375,12.0625,12.015625,11.9546875,12.00625,12.13125,12,11.9375,12.075,12.084375,12.0015625,11.909375,11.890625,11.9375,12.01875,12.04375,11.9375,12.046875,12.028125,12.03125,12.021875,11.946875,12.0421875,12.0625,11.9765625,11.95,12.003125,12.0375,11.7890625,11.8125
0.936,14.00625,13.19375,13.328125,13.0640625,12.975,13.03125,13.0015625,13.1234375,13.0625,13.1234375,13.1640625,13.0609375,13.075,13.1328125,13.11875,13.084375,13.33125,13.1609375,13.1515625,13.1625,13.2046875,13.0390625,13.009375,13.2109375,13.2046875,13.11875,13.05625,13.1421875,13.1203125,13.021875,13.003125,13.1703125,13.2390625,13.1515625,13.228125,13.090625,13.1046875,13.11875,13.115625,13.0671875,13.1640625,13.2125,13.059375,13.1015625,13.11875,13.2421875,13.128125,13.03125,13.1171875,13.178125,13.165625,13.090625,13.2,13.1703125,13.128125,13.1015625,13.1484375,13.1578125,13.11875,13.1140625,13.1015625,13.18125,13.1234375,13.184375,13.134375,13.1390625,13.1234375,13.153125,13.1359375,13.1484375,13.125,13.1515625,13.1375,13.1375,13.1375,13.1265625,13.2046875,13.1703125,13.11875,13.1015625,13.1703125,13.1875,13.04375,13.184375,13.2046875,13.15625,13.1234375,13.11875,13.16875,13.153125,13.1796875,13.1375,13.25,13.278125,13.153125,13.125,13.128125,13.29375,13.1875,13.1140625,13.1484375,13.165625,13.2,13.090625,13.121875,13.25625,13.16875,13.121875,13.221875,13.2734375,13.215625,13.0671875,13.0796875,13.1875,13.184375,13.1703125,13.190625,13.1875,13.121875,13.1375,13.2,13.2,13.178125,13.25625,13.221875,13.1703125,13.259375,13.3359375,13.1140625,13.153125,13.146875,13.20625,13.221875,13.25625,13.25625,13.16875,13.121875,13.225,13.2421875,13.16875,13.1234375,13.284375,13.3640625,13.278125,13.2109375,13.3125,13.25625,13.2046875,13.159375,13.25625,13.25625,13.121875,13.2,13.284375,13.284375,13.25625,13.165625,13.2734375,13.321875,13.1875,13.175,13.18125,13.153125,13.1703125,13.1484375,13.196875,13.25625,13.2984375,13.196875,13.209375,13.3265625,13.284375,13.284375,13.2046875,13.2125,13.25625,13.1359375,13.2046875,13.2453125,13.33125,13.2390625,13.26875,13.196875,13.290625,13.2,13.2984375,13.2,13.284375,13.221875,13.1703125,13.153125,13.1765625,13.0828125,13.153125,13.2296875,13.2390625,13.23125,13.221875,13.325,13.325,13.196875,13.284375,13.33125,13.2390625,13.2046875,13.253125,13.2734375,13.1,13.065625,13.2265625,13.1703125,13.25625,13.2390625,13.2625,13.2125,13.1703125,13.2046875,13.290625,13.2046875,13.2328125,13.253125,13.3078125,13.1875,13.1328125,13.2328125,13.2078125,13.0890625,13.1703125,13.25625,13.2109375,13.153125,13.2046875,13.33125,13.184375,13.11875,13.2734375,13.2796875,13.1953125,13.0953125,13.0890625,13.11875,13.1875,13.2546875,13.1328125,13.25,13.2140625,13.221875,13.215625,13.140625,13.215625,13.25625,13.1875,13.1171875,13.184375,13.2328125,12.9703125,12.98125
1.061,16.53125,15.59375,15.740625,15.4328125,15.31875,15.39375,15.3546875,15.4609375,15.4203125,15.5015625,15.521875,15.4109375,15.459375,15.5234375,15.48125,15.428125,15.73125,15.5453125,15.5296875,15.546875,15.5828125,15.40625,15.365625,15.584375,15.5671875,15.48125,15.4296875,15.5140625,15.5078125,15.3796875,15.359375,15.5421875,15.6203125,15.503125,15.6125,15.471875,15.4765625,15.48125,15.5,15.4390625,15.51875,15.584375,15.428125,15.4859375,15.4640625,15.6140625,15.509375,15.39375,15.4625,15.55625,15.546875,15.446875,15.56875,15.5421875,15.5,15.4625,15.5109375,15.5359375,15.4796875,15.471875,15.4734375,15.5640625,15.4765625,15.546875,15.5125,15.5109375,15.4953125,15.5328125,15.525,15.5265625,15.4890625,15.5328125,15.51875,15.5203125,15.490625,15.4890625,15.5828125,15.5421875,15.48125,15.4890625,15.5421875,15.56875,15.40625,15.56875,15.5828125,15.503125,15.490625,15.4890625,15.540625,15.540625,15.546875,15.51875,15.596875,15.6390625,15.521875,15.515625,15.471875,15.68125,15.584375,15.503125,15.5265625,15.546875,15.5875,15.446875,15.509375,15.64375,15.540625,15.509375,15.603125,15.6515625,15.5703125,15.4296875,15.4671875,15.59375,15.56875,15.5421875,15.5875,15.575,15.478125,15.49375,15.5875,15.5875,15.55,15.628125,15.5921875,15.5515625,15.6171875,15.6984375,15.48125,15.5234375,15.53125,15.5984375,15.603125,15.64375,15.64375,15.55625,15.49375,15.596875,15.6296875,15.55625,15.490625,15.665625,15.7359375,15.6609375,15.5640625,15.6828125,15.653125,15.59375,15.540625,15.6375,15.64375,15.49375,15.571875,15.6859375,15.671875,15.64375,15.546875,15.6515625,15.69375,15.55,15.521875,15.56875,15.5328125,15.5421875,15.5265625,15.609375,15.64375,15.6859375,15.5984375,15.596875,15.7140625,15.671875,15.665625,15.5828125,15.584375,15.653125,15.5,15.5828125,15.61875,15.73125,15.6109375,15.65,15.609375,15.6890625,15.6015625,15.6859375,15.58125,15.68125,15.603125,15.5421875,15.521875,15.5671875,15.4609375,15.54375,15.6515625,15.6359375,15.6,15.59375,15.7375,15.7375,15.59375,15.68125,15.74375,15.6171875,15.5765625,15.653125,15.6703125,15.4671875,15.4125,15.6171875,15.5421875,15.64375,15.61875,15.6625,15.5984375,15.5421875,15.59375,15.696875,15.6109375,15.6046875,15.6375,15.7046875,15.540625,15.5046875,15.6234375,15.6,15.4859375,15.5421875,15.64375,15.6015625,15.5328125,15.584375,15.73125,15.553125,15.48125,15.6703125,15.6703125,15.5625,15.4484375,15.4609375,15.48125,15.525,15.64375,15.5234375,15.634375,15.5859375,15.603125,15.603125,15.5078125,15.5828125,15.64375,15.5890625,15.4734375,15.546875,15.6234375,15.3328125,15.353125
1.139,17.79375,16.79375,16.946875,16.6171875,16.490625,16.575,16.521875,16.6296875,16.5890625,16.690625,16.7109375,16.596875,16.640625,16.71875,16.6625,16.6,16.93125,16.753125,16.71875,16.728125,16.771875,16.6,16.54375,16.7625,16.7484375,16.6625,16.6078125,16.690625,16.7015625,16.5484375,16.5375,16.728125,16.828125,16.665625,16.79375,16.6625,16.671875,16.6625,16.684375,16.625,16.7046875,16.7703125,16.6125,16.6859375,16.6453125,16.790625,16.7,16.575,16.6484375,16.75625,16.7375,16.625,16.753125,16.728125,16.6859375,16.634375,16.684375,16.725,16.66875,16.64375,16.659375,16.7484375,16.653125,16.71875,16.690625,16.696875,16.690625,16.7140625,16.7109375,16.715625,16.6796875,16.7234375,16.709375,16.7265625,16.6671875,16.6625,16.771875,16.728125,16.6625,16.6828125,16.728125,16.759375,16.5875,16.753125,16.771875,16.6765625,16.6671875,16.6828125,16.734375,16.734375,16.7234375,16.709375,16.7703125,16.8109375,16.70625,16.7109375,16.64375,16.875,16.7828125,16.70625,16.715625,16.7375,16.78125,16.625,16.703125,16.8375,16.734375,16.703125,16.79375,16.840625,16.75625,16.6109375,16.6609375,16.80625,16.76875,16.728125,16.778125,16.76875,16.65625,16.671875,16.78125,16.78125,16.74375,16.80625,16.7859375,16.7421875,16.7890625,16.8796875,16.675,16.7171875,16.715625,16.7875,16.79375,16.8375,16.8375,16.75,16.6875,16.790625,16.8234375,16.75,16.68125,16.85625,16.921875,16.859375,16.740625,16.859375,16.8515625,16.796875,16.73125,16.828125,16.8375,16.6875,16.75,16.8796875,16.865625,16.8375,16.7375,16.840625,16.8796875,16.73125,16.6953125,16.7625,16.73125,16.728125,16.715625,16.815625,16.8375,16.8796875,16.7921875,16.790625,16.9078125,16.865625,16.85625,16.771875,16.7703125,16.8515625,16.690625,16.771875,16.796875,16.93125,16.796875,16.840625,16.815625,16.8796875,16.809375,16.8796875,16.771875,16.871875,16.79375,16.728125,16.70625,16.7625,16.65,16.75,16.8625,16.834375,16.784375,16.7796875,16.94375,16.94375,16.784375,16.871875,16.95,16.80625,16.7625,16.853125,16.86875,16.6609375,16.575,16.8125,16.728125,16.8375,16.8,16.8625,16.7984375,16.728125,16.796875,16.9,16.8140625,16.790625,16.8375,16.903125,16.7171875,16.690625,16.81875,16.8109375,16.684375,16.728125,16.8375,16.796875,16.7140625,16.765625,16.93125,16.7375,16.6625,16.86875,16.865625,16.7359375,16.615625,16.634375,16.6625,16.69375,16.821875,16.71875,16.815625,16.771875,16.79375,16.796875,16.68125,16.7765625,16.8375,16.7796875,16.6625,16.728125,16.81875,16.5140625,16.55625
1.264,20.31875,19.19375,19.359375,18.9859375,18.834375,18.9375,18.85625,18.9671875,18.9265625,19.06875,19.0890625,18.96875,19.003125,19.109375,19.025,18.94375,19.33125,19.16875,19.096875,19.090625,19.15,18.9875,18.9,19.11875,19.1109375,19.025,18.9640625,19.04375,19.0890625,18.8859375,18.89375,19.1,19.24375,18.990625,19.15625,19.04375,19.0625,19.025,19.053125,18.996875,19.0765625,19.1421875,18.98125,19.0859375,19.0078125,19.14375,19.08125,18.9375,19.0203125,19.15625,19.11875,18.98125,19.121875,19.1,19.0578125,18.978125,19.03125,19.103125,19.046875,18.9875,19.03125,19.1171875,19.00625,19.0625,19.046875,19.06875,19.08125,19.0765625,19.0828125,19.09375,19.0609375,19.1046875,19.090625,19.1390625,19.0203125,19.009375,19.15,19.1,19.025,19.0703125,19.1,19.140625,18.95,19.121875,19.15,19.0234375,19.0203125,19.0703125,19.121875,19.121875,19.0765625,19.090625,19.1171875,19.1546875,19.075,19.1015625,18.9875,19.2625,19.1796875,19.1125,19.09375,19.11875,19.16875,18.98125,19.090625,19.225,19.121875,19.090625,19.175,19.21875,19.128125,18.9734375,19.0484375,19.23125,19.16875,19.1,19.159375,19.15625,19.0125,19.028125,19.16875,19.16875,19.13125,19.1625,19.1734375,19.1234375,19.1328125,19.2421875,19.0625,19.1046875,19.084375,19.165625,19.175,19.225,19.225,19.1375,19.075,19.178125,19.2109375,19.1375,19.0625,19.2375,19.29375,19.25625,19.09375,19.2125,19.2484375,19.203125,19.1125,19.209375,19.225,19.075,19.10625,19.2671875,19.253125,19.225,19.11875,19.21875,19.2515625,19.09375,19.0421875,19.15,19.128125,19.1,19.09375,19.228125,19.225,19.2671875,19.1796875,19.178125,19.2953125,19.253125,19.2375,19.15,19.1421875,19.2484375,19.071875,19.15,19.153125,19.33125,19.16875,19.221875,19.228125,19.2609375,19.225,19.2671875,19.153125,19.253125,19.175,19.1,19.075,19.153125,19.028125,19.1625,19.284375,19.23125,19.153125,19.1515625,19.35625,19.35625,19.165625,19.253125,19.3625,19.184375,19.134375,19.253125,19.265625,19.0484375,18.9,19.203125,19.1,19.225,19.1625,19.2625,19.1984375,19.1,19.203125,19.30625,19.2203125,19.1625,19.2375,19.3,19.0703125,19.0625,19.209375,19.2328125,19.08125,19.1,19.225,19.1875,19.0765625,19.128125,19.33125,19.10625,19.025,19.265625,19.25625,19.0828125,18.95,18.98125,19.025,19.03125,19.178125,19.109375,19.178125,19.14375,19.175,19.184375,19.028125,19.1640625,19.225,19.1609375,19.040625,19.090625,19.209375,18.8765625,18.9625
1.389,22.84375,21.528125,21.70625,21.3546875,21.178125,21.3,21.190625,21.3453125,21.3046875,21.446875,21.4671875,21.340625,21.365625,21.453125,21.3875,21.35625,21.73125,21.521875,21.475,21.453125,21.528125,21.334375,21.25625,21.475,21.4734375,21.3875,21.3546875,21.434375,21.4359375,21.2234375,21.25,21.471875,21.590625,21.36875,21.5625,21.425,21.415625,21.421875,21.421875,21.36875,21.4140625,21.5140625,21.35,21.4546875,21.3703125,21.534375,21.425,21.3,21.3921875,21.55625,21.5,21.3375,21.490625,21.471875,21.4015625,21.35625,21.409375,21.48125,21.425,21.359375,21.403125,21.4859375,21.359375,21.44375,21.403125,21.440625,21.434375,21.4390625,21.4546875,21.440625,21.4421875,21.4859375,21.471875,21.5203125,21.4015625,21.3875,21.528125,21.471875,21.421875,21.4578125,21.471875,21.521875,21.3125,21.521875,21.528125,21.4046875,21.4015625,21.4234375,21.478125,21.509375,21.4578125,21.44375,21.4640625,21.5328125,21.44375,21.4578125,21.36875,21.65,21.5421875,21.484375,21.471875,21.471875,21.525,21.36875,21.478125,21.58125,21.478125,21.446875,21.528125,21.596875,21.5,21.3703125,21.3953125,21.61875,21.56875,21.471875,21.540625,21.54375,21.4,21.415625,21.525,21.525,21.51875,21.55,21.5609375,21.5046875,21.5046875,21.6046875,21.409375,21.4921875,21.484375,21.54375,21.55625,21.640625,21.6125,21.49375,21.4625,21.565625,21.5984375,21.525,21.44375,21.61875,21.665625,21.653125,21.48125,21.6,21.6453125,21.609375,21.49375,21.590625,21.6125,21.4625,21.49375,21.6234375,21.640625,21.6125,21.5,21.596875,21.6234375,21.490625,21.4296875,21.5375,21.525,21.50625,21.471875,21.609375,21.6125,21.6234375,21.5359375,21.565625,21.7109375,21.640625,21.61875,21.528125,21.5140625,21.6109375,21.41875,21.528125,21.54375,21.73125,21.540625,21.634375,21.609375,21.6421875,21.6125,21.6828125,21.534375,21.60625,21.55625,21.471875,21.44375,21.54375,21.40625,21.53125,21.671875,21.6625,21.521875,21.5234375,21.734375,21.76875,21.578125,21.665625,21.775,21.5625,21.50625,21.621875,21.6625,21.4359375,21.26875,21.59375,21.515625,21.6125,21.525,21.63125,21.5984375,21.471875,21.575,21.678125,21.5921875,21.534375,21.60625,21.696875,21.4578125,21.434375,21.6,21.6546875,21.428125,21.471875,21.646875,21.6125,21.4390625,21.525,21.73125,21.50625,21.421875,21.6625,21.646875,21.4703125,21.321875,21.378125,21.446875,21.36875,21.534375,21.5,21.584375,21.478125,21.55625,21.571875,21.415625,21.5515625,21.6125,21.5421875,21.41875,21.453125,21.6,21.2984375,21.36875
