2017/02/06 17:06:56
Time (sec),PTAT,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255
0.14,2.415625,2.290625,2.3,2.25625,2.23125,2.25,2.259375,2.265625,2.265625,2.265625,2.265625,2.259375,2.25,2.28125,2.309375,2.3,2.290625,2.303125,2.265625,2.25,2.303125,2.275,2.28125,2.28125,2.284375,2.284375,2.28125,2.28125,2.275,2.265625,2.246875,2.259375,2.2375,2.265625,2.29375,2.26875,2.28125,2.284375,2.290625,2.259375,2.290625,2.259375,2.25625,2.290625,2.25,2.28125,2.26875,2.25,2.259375,2.290625,2.26875,2.28125,2.290625,2.290625,2.259375,2.29375,2.265625,2.265625,2.29375,2.259375,2.259375,2.284375,2.28125,2.26875,2.290625,2.259375,2.28125,2.284375,2.259375,2.29375,2.26875,2.26875,2.26875,2.26875,2.240625,2.265625,2.29375,2.259375,2.25,2.275,2.259375,2.309375,2.31875,2.290625,2.29375,2.3,2.26875,2.275,2.275,2.275,2.26875,2.240625,2.26875,2.265625,2.25625,2.246875,2.26875,2.3125,2.25,2.29375,2.3,2.26875,2.275,2.275,2.275,2.303125,2.275,2.275,2.3,2.265625,2.259375,2.284375,2.2375,2.275,2.290625,2.29375,2.3,2.303125,2.275,2.275,2.275,2.275,2.275,2.303125,2.275,2.26875,2.259375,2.25,2.2375,2.3125,2.290625,2.29375,2.3,2.275,2.275,2.303125,2.246875,2.275,2.275,2.275,2.303125,2.3,2.259375,2.25625,2.275,2.275,2.284375,2.29375,2.3,2.303125,2.275,2.275,2.303125,2.275,2.275,2.303125,2.26875,2.265625,2.259375,2.25,2.275,2.275,2.284375,2.29375,2.3,2.3,2.275,2.275,2.303125,2.275,2.275,2.275,2.26875,2.29375,2.259375,2.25,2.26875,2.303125,2.28125,2.325,2.29375,2.26875,2.26875,2.26875,2.275,2.303125,2.26875,2.26875,2.26875,2.259375,2.25625,2.28125,2.265625,2.25625,2.309375,2.284375,2.290625,2.29375,2.265625,2.3,2.3,2.26875,2.26875,2.265625,2.259375,2.25625,2.284375,2.275,2.25625,2.28125,2.259375,2.275,2.284375,2.25625,2.290625,2.29375,2.259375,2.29375,2.29375,2.290625,2.290625,2.284375,2.240625,2.259375,2.28125,2.1875,2.284375,2.259375,2.275,2.28125,2.284375,2.284375,2.290625,2.290625,2.25,2.284375,2.28125,2.275,2.259375,2.2375,2.25,2.29375,2.309375,2.28125,2.29375,2.259375,2.26875,2.275,2.275,2.275,2.275,2.26875,2.265625,2.29375,2.23125,2.309375,2.29375
0.281,4.83125,4.58125,4.6,4.5125,4.4625,4.5,4.51875,4.53125,4.53125,4.53125,4.53125,4.51875,4.5,4.5625,4.61875,4.6,4.58125,4.60625,4.53125,4.5,4.60625,4.55,4.5625,4.5625,4.56875,4.56875,4.5625,4.5625,4.55,4.53125,4.49375,4.51875,4.475,4.53125,4.5875,4.5375,4.5625,4.56875,4.58125,4.51875,4.58125,4.51875,4.5125,4.58125,4.5,4.5625,4.5375,4.5,4.51875,4.58125,4.5375,4.5625,4.58125,4.58125,4.51875,4.5875,4.53125,4.53125,4.5875,4.51875,4.51875,4.56875,4.5625,4.5375,4.58125,4.51875,4.5625,4.56875,4.51875,4.5875,4.5375,4.5375,4.5375,4.5375,4.48125,4.53125,4.5875,4.51875,4.5,4.55,4.51875,4.61875,4.6375,4.58125,4.5875,4.6,4.5375,4.55,4.55,4.55,4.5375,4.48125,4.5375,4.53125,4.5125,4.49375,4.5375,4.625,4.5,4.5875,4.6,4.5375,4.55,4.55,4.55,4.60625,4.55,4.55,4.6,4.53125,4.51875,4.56875,4.475,4.55,4.58125,4.5875,4.6,4.60625,4.55,4.55,4.55,4.55,4.55,4.60625,4.55,4.5375,4.51875,4.5,4.475,4.625,4.58125,4.5875,4.6,4.55,4.55,4.60625,4.49375,4.55,4.55,4.55,4.60625,4.6,4.51875,4.5125,4.55,4.55,4.56875,4.5875,4.6,4.60625,4.55,4.55,4.60625,4.55,4.55,4.60625,4.5375,4.53125,4.51875,4.5,4.55,4.55,4.56875,4.5875,4.6,4.6,4.55,4.55,4.60625,4.55,4.55,4.55,4.5375,4.5875,4.51875,4.5,4.5375,4.60625,4.5625,4.65,4.5875,4.5375,4.5375,4.5375,4.55,4.60625,4.5375,4.5375,4.5375,4.51875,4.5125,4.5625,4.53125,4.5125,4.61875,4.56875,4.58125,4.5875,4.53125,4.6,4.6,4.5375,4.5375,4.53125,4.51875,4.5125,4.56875,4.55,4.5125,4.5625,4.51875,4.55,4.56875,4.5125,4.58125,4.5875,4.51875,4.5875,4.5875,4.58125,4.58125,4.56875,4.48125,4.51875,4.5625,4.375,4.56875,4.51875,4.55,4.5625,4.56875,4.56875,4.58125,4.58125,4.5,4.56875,4.5625,4.55,4.51875,4.475,4.5,4.5875,4.61875,4.5625,4.5875,4.51875,4.5375,4.55,4.55,4.55,4.55,4.5375,4.53125,4.5875,4.4625,4.61875,4.5875
0.406,6.0359375,5.6890625,5.746875,5.6375,5.6,5.6453125,5.646875,5.6609375,5.6609375,5.6609375,5.6609375,5.646875,5.6234375,5.7,5.7703125,5.7140625,5.7234375,5.75625,5.6609375,5.6453125,5.7359375,5.684375,5.7,5.7,5.709375,5.709375,5.7,5.68125,5.684375,5.6609375,5.6140625,5.646875,5.625,5.6609375,5.7328125,5.6890625,5.7,5.709375,5.7234375,5.6609375,5.7234375,5.6609375,5.6546875,5.70625,5.640625,5.7,5.6703125,5.6453125,5.646875,5.7015625,5.6703125,5.7,5.7234375,5.7234375,5.6640625,5.7171875,5.6609375,5.678125,5.7171875,5.646875,5.6609375,5.709375,5.7,5.6703125,5.7234375,5.646875,5.7171875,5.709375,5.6640625,5.7328125,5.684375,5.684375,5.684375,5.6703125,5.6,5.6609375,5.7171875,5.646875,5.6234375,5.684375,5.646875,5.7515625,5.79375,5.740625,5.7328125,5.746875,5.6703125,5.7,5.684375,5.684375,5.6703125,5.628125,5.6703125,5.6609375,5.6546875,5.6140625,5.6515625,5.759375,5.640625,5.7328125,5.746875,5.684375,5.684375,5.684375,5.684375,5.740625,5.684375,5.7,5.7328125,5.678125,5.646875,5.709375,5.609375,5.7046875,5.7234375,5.746875,5.746875,5.740625,5.684375,5.684375,5.684375,5.684375,5.684375,5.740625,5.684375,5.684375,5.6640625,5.640625,5.609375,5.759375,5.7234375,5.7328125,5.746875,5.7,5.7,5.740625,5.628125,5.684375,5.684375,5.6703125,5.7390625,5.746875,5.646875,5.653125,5.684375,5.684375,5.709375,5.746875,5.7328125,5.75625,5.7,5.684375,5.740625,5.684375,5.684375,5.740625,5.684375,5.6609375,5.646875,5.640625,5.684375,5.684375,5.709375,5.7328125,5.746875,5.746875,5.7,5.684375,5.740625,5.684375,5.684375,5.7,5.6703125,5.7171875,5.6609375,5.640625,5.6703125,5.75625,5.7,5.7921875,5.7328125,5.684375,5.6703125,5.6703125,5.7,5.740625,5.6875,5.684375,5.6703125,5.646875,5.6546875,5.7,5.6421875,5.659375,5.753125,5.709375,5.7234375,5.7328125,5.6609375,5.746875,5.7328125,5.6703125,5.6703125,5.678125,5.646875,5.6546875,5.709375,5.684375,5.659375,5.7,5.646875,5.7046875,5.709375,5.6546875,5.7234375,5.7328125,5.646875,5.7328125,5.7328125,5.7234375,5.7234375,5.725,5.6,5.646875,5.7,5.4984375,5.709375,5.66875,5.684375,5.7,5.709375,5.709375,5.70625,5.7234375,5.640625,5.709375,5.7,5.684375,5.646875,5.615625,5.6234375,5.7328125,5.7703125,5.7,5.7109375,5.66875,5.6703125,5.684375,5.684375,5.684375,5.684375,5.6890625,5.68125,5.7109375,5.5765625,5.7703125,5.6984375
0.562,7.240625,6.796875,6.89375,6.7625,6.7375,6.790625,6.775,6.790625,6.790625,6.790625,6.790625,6.775,6.746875,6.8375,6.921875,6.828125,6.865625,6.90625,6.790625,6.790625,6.865625,6.81875,6.8375,6.8375,6.85,6.85,6.8375,6.8,6.81875,6.790625,6.734375,6.775,6.775,6.790625,6.878125,6.840625,6.8375,6.85,6.865625,6.803125,6.865625,6.803125,6.796875,6.83125,6.78125,6.8375,6.803125,6.790625,6.775,6.821875,6.803125,6.8375,6.865625,6.865625,6.809375,6.846875,6.790625,6.825,6.846875,6.775,6.803125,6.85,6.8375,6.803125,6.865625,6.775,6.871875,6.85,6.809375,6.878125,6.83125,6.83125,6.83125,6.803125,6.71875,6.790625,6.846875,6.775,6.746875,6.81875,6.775,6.884375,6.95,6.9,6.878125,6.89375,6.803125,6.85,6.81875,6.81875,6.803125,6.775,6.803125,6.790625,6.796875,6.734375,6.765625,6.89375,6.78125,6.878125,6.89375,6.83125,6.81875,6.81875,6.81875,6.875,6.81875,6.85,6.865625,6.825,6.775,6.85,6.74375,6.859375,6.865625,6.90625,6.89375,6.875,6.81875,6.81875,6.81875,6.81875,6.81875,6.875,6.81875,6.83125,6.809375,6.78125,6.74375,6.89375,6.865625,6.878125,6.89375,6.85,6.85,6.875,6.7625,6.81875,6.81875,6.790625,6.871875,6.89375,6.775,6.79375,6.81875,6.81875,6.85,6.90625,6.865625,6.90625,6.85,6.81875,6.875,6.81875,6.81875,6.875,6.83125,6.790625,6.775,6.78125,6.81875,6.81875,6.85,6.878125,6.89375,6.89375,6.85,6.81875,6.875,6.81875,6.81875,6.85,6.803125,6.846875,6.803125,6.78125,6.803125,6.90625,6.8375,6.934375,6.878125,6.83125,6.803125,6.803125,6.85,6.875,6.8375,6.83125,6.803125,6.775,6.796875,6.8375,6.753125,6.80625,6.8875,6.85,6.865625,6.878125,6.790625,6.89375,6.865625,6.803125,6.803125,6.825,6.775,6.796875,6.85,6.81875,6.80625,6.8375,6.775,6.859375,6.85,6.796875,6.865625,6.878125,6.775,6.878125,6.878125,6.865625,6.865625,6.88125,6.71875,6.775,6.8375,6.621875,6.85,6.81875,6.81875,6.8375,6.85,6.85,6.83125,6.865625,6.78125,6.85,6.8375,6.81875,6.775,6.75625,6.746875,6.878125,6.921875,6.8375,6.834375,6.81875,6.803125,6.81875,6.81875,6.81875,6.81875,6.840625,6.83125,6.834375,6.690625,6.921875,6.809375
0.718,9.65,9.08125,9.1875,9.0125,8.965625,9.08125,9.03125,9.05,9.090625,9.05,9.05,9.03125,9.0375,9.1125,9.16875,9.121875,9.15,9.20625,9.05,9.08125,9.165625,9.0875,9.1125,9.1125,9.096875,9.13125,9.1125,9.075,9.121875,9.05,8.975,9.03125,9.075,9.103125,9.16875,9.10625,9.146875,9.13125,9.15,9.0875,9.15,9.059375,9.08125,9.08125,9.0625,9.1125,9.06875,9.08125,9.0875,9.0625,9.06875,9.1125,9.15,9.15,9.1,9.10625,9.084375,9.084375,9.10625,9.065625,9.059375,9.13125,9.146875,9.06875,9.15,9.03125,9.146875,9.1625,9.1,9.16875,9.125,9.125,9.125,9.096875,8.984375,9.05,9.1375,9.03125,9.028125,9.128125,9.03125,9.1875,9.23125,9.15,9.16875,9.159375,9.096875,9.11875,9.0875,9.11875,9.103125,9.040625,9.096875,9.08125,9.08125,9.009375,9.03125,9.1625,9.09375,9.134375,9.1875,9.125,9.0875,9.0875,9.0875,9.14375,9.0875,9.11875,9.13125,9.11875,9.03125,9.13125,9.0125,9.128125,9.15,9.196875,9.159375,9.175,9.0875,9.11875,9.0875,9.0875,9.11875,9.175,9.0875,9.125,9.1,9.0625,9.0125,9.1625,9.15,9.203125,9.1875,9.15,9.15,9.14375,9.0625,9.0875,9.11875,9.090625,9.1375,9.1875,9.065625,9.075,9.0875,9.0875,9.13125,9.225,9.159375,9.20625,9.15,9.0875,9.175,9.11875,9.0875,9.14375,9.096875,9.05,9.065625,9.028125,9.0875,9.121875,9.13125,9.196875,9.21875,9.1875,9.15,9.11875,9.14375,9.11875,9.0875,9.11875,9.096875,9.10625,9.0875,9.0625,9.06875,9.20625,9.1125,9.21875,9.203125,9.125,9.096875,9.103125,9.11875,9.175,9.1375,9.096875,9.096875,9.065625,9.08125,9.1125,9.0125,9.1,9.190625,9.13125,9.15,9.16875,9.05,9.1875,9.159375,9.096875,9.096875,9.084375,9.03125,9.08125,9.13125,9.0875,9.1,9.1125,9.075,9.16875,9.13125,9.08125,9.15,9.16875,9.065625,9.134375,9.16875,9.15,9.115625,9.1625,8.9875,9.03125,9.1625,8.86875,9.13125,9.11875,9.121875,9.146875,9.1625,9.13125,9.115625,9.15,9.0625,9.1625,9.1125,9.0875,9.03125,8.9875,9.05,9.16875,9.225,9.1125,9.125,9.075,9.10625,9.121875,9.0875,9.121875,9.0875,9.14375,9.13125,9.08125,8.965625,9.16875,9.1
0.811,10.8546875,10.2234375,10.334375,10.1375,10.0796875,10.2265625,10.159375,10.1796875,10.240625,10.1796875,10.1796875,10.159375,10.1828125,10.25,10.2921875,10.26875,10.2921875,10.35625,10.1796875,10.2265625,10.315625,10.221875,10.25,10.25,10.2203125,10.271875,10.25,10.2125,10.2734375,10.1796875,10.0953125,10.159375,10.225,10.259375,10.3140625,10.2390625,10.3015625,10.271875,10.2921875,10.2296875,10.2921875,10.1875,10.2234375,10.20625,10.203125,10.25,10.2015625,10.2265625,10.24375,10.1828125,10.2015625,10.25,10.2921875,10.2921875,10.2453125,10.2359375,10.23125,10.2140625,10.2359375,10.2109375,10.1875,10.271875,10.3015625,10.2015625,10.2921875,10.159375,10.284375,10.31875,10.2453125,10.3140625,10.271875,10.271875,10.271875,10.24375,10.1171875,10.1796875,10.2828125,10.159375,10.16875,10.2828125,10.159375,10.3390625,10.371875,10.275,10.3140625,10.2921875,10.24375,10.253125,10.221875,10.26875,10.253125,10.1734375,10.24375,10.2265625,10.2234375,10.146875,10.1640625,10.296875,10.25,10.2625,10.334375,10.271875,10.221875,10.221875,10.221875,10.278125,10.221875,10.253125,10.2640625,10.265625,10.159375,10.271875,10.146875,10.2625,10.2921875,10.3421875,10.2921875,10.325,10.221875,10.26875,10.221875,10.221875,10.26875,10.325,10.221875,10.271875,10.2453125,10.203125,10.146875,10.296875,10.2921875,10.365625,10.334375,10.3,10.3,10.278125,10.2125,10.221875,10.26875,10.240625,10.2703125,10.334375,10.2109375,10.215625,10.221875,10.221875,10.271875,10.384375,10.30625,10.35625,10.3,10.221875,10.325,10.26875,10.221875,10.278125,10.2296875,10.1796875,10.2109375,10.1515625,10.221875,10.2734375,10.271875,10.35625,10.38125,10.334375,10.3,10.26875,10.278125,10.26875,10.221875,10.253125,10.24375,10.2359375,10.2296875,10.203125,10.2015625,10.35625,10.25,10.3609375,10.365625,10.271875,10.24375,10.253125,10.253125,10.325,10.2875,10.2296875,10.24375,10.2109375,10.2234375,10.25,10.1421875,10.246875,10.3421875,10.271875,10.2921875,10.3140625,10.1796875,10.334375,10.30625,10.24375,10.24375,10.2140625,10.159375,10.2234375,10.271875,10.221875,10.246875,10.25,10.225,10.3234375,10.271875,10.2234375,10.2921875,10.3140625,10.2109375,10.2625,10.3140625,10.2921875,10.240625,10.303125,10.121875,10.159375,10.325,9.9921875,10.271875,10.26875,10.2734375,10.3015625,10.31875,10.271875,10.2578125,10.2921875,10.203125,10.31875,10.25,10.221875,10.159375,10.103125,10.2015625,10.3140625,10.3765625,10.25,10.2703125,10.203125,10.2578125,10.2734375,10.221875,10.2734375,10.221875,10.2953125,10.28125,10.2046875,10.103125,10.2921875,10.2453125
0.967,13.2640625,12.5078125,12.628125,12.446875,12.3078125,12.5171875,12.415625,12.4390625,12.540625,12.4390625,12.4015625,12.415625,12.3859375,12.525,12.5953125,12.496875,12.5765625,12.65625,12.3859375,12.5171875,12.575,12.453125,12.525,12.525,12.4671875,12.553125,12.490625,12.45,12.5765625,12.4390625,12.3796875,12.415625,12.45625,12.51875,12.6046875,12.5046875,12.6109375,12.553125,12.5765625,12.5484375,12.5765625,12.471875,12.5078125,12.45625,12.45,12.525,12.4296875,12.4734375,12.5,12.4234375,12.5046875,12.525,12.5765625,12.5765625,12.5359375,12.5265625,12.55625,12.4734375,12.4953125,12.5015625,12.44375,12.521875,12.5765625,12.4671875,12.5328125,12.459375,12.559375,12.63125,12.5359375,12.6046875,12.565625,12.565625,12.565625,12.509375,12.3828125,12.4390625,12.5421875,12.44375,12.415625,12.5515625,12.415625,12.6421875,12.653125,12.559375,12.6046875,12.6171875,12.509375,12.521875,12.490625,12.5375,12.51875,12.4671875,12.509375,12.5171875,12.4734375,12.3875,12.4671875,12.565625,12.53125,12.58125,12.628125,12.565625,12.490625,12.490625,12.490625,12.546875,12.490625,12.521875,12.5296875,12.525,12.45,12.51875,12.415625,12.571875,12.5765625,12.6328125,12.5859375,12.625,12.521875,12.56875,12.490625,12.521875,12.5375,12.59375,12.490625,12.5375,12.5015625,12.484375,12.378125,12.60625,12.5765625,12.625,12.628125,12.6,12.56875,12.578125,12.48125,12.490625,12.5375,12.509375,12.5359375,12.628125,12.4671875,12.465625,12.490625,12.490625,12.553125,12.703125,12.571875,12.65625,12.6,12.490625,12.625,12.5375,12.490625,12.578125,12.4953125,12.4390625,12.5015625,12.4328125,12.490625,12.5421875,12.553125,12.646875,12.70625,12.628125,12.6,12.56875,12.546875,12.5375,12.490625,12.521875,12.5375,12.5265625,12.5140625,12.515625,12.4671875,12.615625,12.559375,12.6453125,12.690625,12.596875,12.5375,12.553125,12.553125,12.59375,12.5875,12.4953125,12.5375,12.5015625,12.4734375,12.525,12.4421875,12.540625,12.6453125,12.584375,12.5765625,12.6046875,12.4734375,12.628125,12.6,12.5375,12.5375,12.5078125,12.45,12.5078125,12.553125,12.490625,12.496875,12.525,12.48125,12.6328125,12.553125,12.5078125,12.5765625,12.6046875,12.5015625,12.553125,12.5703125,12.5484375,12.525,12.55,12.390625,12.415625,12.553125,12.2953125,12.553125,12.525,12.5421875,12.5765625,12.565625,12.553125,12.5078125,12.5765625,12.484375,12.6,12.525,12.490625,12.415625,12.334375,12.5046875,12.6046875,12.6171875,12.525,12.5171875,12.503125,12.5234375,12.5421875,12.525,12.5421875,12.490625,12.5609375,12.58125,12.4515625,12.378125,12.5390625,12.5359375
1.045,14.46875,13.65,13.775,13.6015625,13.421875,13.6625,13.54375,13.56875,13.690625,13.56875,13.5125,13.54375,13.4875,13.6625,13.746875,13.6109375,13.71875,13.80625,13.4890625,13.6625,13.7046875,13.56875,13.6625,13.6625,13.590625,13.69375,13.6109375,13.56875,13.728125,13.56875,13.521875,13.54375,13.571875,13.6484375,13.75,13.6375,13.765625,13.69375,13.71875,13.7078125,13.71875,13.6140625,13.65,13.58125,13.5734375,13.6625,13.54375,13.596875,13.628125,13.54375,13.65625,13.6625,13.71875,13.71875,13.68125,13.671875,13.71875,13.603125,13.625,13.646875,13.571875,13.646875,13.7140625,13.6,13.653125,13.609375,13.696875,13.7875,13.68125,13.75,13.7125,13.7125,13.7125,13.6421875,13.515625,13.56875,13.671875,13.5859375,13.5390625,13.6859375,13.54375,13.79375,13.79375,13.7015625,13.75,13.7796875,13.6421875,13.65625,13.625,13.671875,13.6515625,13.6140625,13.6421875,13.6625,13.5984375,13.5078125,13.61875,13.7,13.671875,13.740625,13.775,13.7125,13.625,13.625,13.625,13.68125,13.625,13.65625,13.6625,13.6546875,13.5953125,13.6421875,13.55,13.7265625,13.71875,13.778125,13.7328125,13.775,13.671875,13.71875,13.625,13.671875,13.671875,13.728125,13.625,13.6703125,13.6296875,13.625,13.49375,13.7609375,13.71875,13.7546875,13.775,13.75,13.703125,13.728125,13.615625,13.625,13.671875,13.64375,13.66875,13.775,13.5953125,13.590625,13.625,13.625,13.69375,13.8625,13.7046875,13.80625,13.75,13.625,13.775,13.671875,13.625,13.728125,13.628125,13.56875,13.646875,13.5734375,13.625,13.6765625,13.69375,13.7921875,13.86875,13.775,13.75,13.71875,13.68125,13.671875,13.625,13.65625,13.684375,13.671875,13.65625,13.671875,13.6,13.7453125,13.7140625,13.7875,13.853125,13.759375,13.684375,13.703125,13.703125,13.728125,13.7375,13.628125,13.684375,13.646875,13.5984375,13.6625,13.5921875,13.6875,13.796875,13.740625,13.71875,13.75,13.6203125,13.775,13.746875,13.684375,13.684375,13.6546875,13.5953125,13.65,13.69375,13.625,13.621875,13.6625,13.609375,13.7875,13.69375,13.65,13.71875,13.75,13.646875,13.6984375,13.6984375,13.6765625,13.6671875,13.6734375,13.525,13.54375,13.6671875,13.446875,13.69375,13.653125,13.6765625,13.7140625,13.6890625,13.69375,13.6328125,13.71875,13.625,13.740625,13.6625,13.625,13.54375,13.45,13.65625,13.75,13.7375,13.6625,13.640625,13.653125,13.65625,13.6765625,13.6765625,13.6765625,13.625,13.69375,13.73125,13.575,13.515625,13.6625,13.68125
1.123,15.6734375,14.828125,14.890625,14.7265625,14.559375,14.7859375,14.671875,14.6984375,14.8203125,14.6984375,14.6625,14.65,14.6328125,14.8,14.8703125,14.7578125,14.8609375,14.925,14.6453125,14.8078125,14.834375,14.7234375,14.8,14.8,14.73125,14.8171875,14.7484375,14.7234375,14.8625,14.6984375,14.6640625,14.671875,14.721875,14.778125,14.8734375,14.7890625,14.903125,14.8171875,14.8609375,14.85,14.8609375,14.75625,14.775,14.7234375,14.7140625,14.78125,14.6765625,14.7203125,14.7296875,14.6859375,14.7890625,14.8,14.8609375,14.846875,14.8265625,14.8171875,14.8484375,14.7328125,14.7546875,14.775,14.7140625,14.7875,14.8328125,14.7328125,14.7953125,14.7375,14.8515625,14.928125,14.809375,14.8953125,14.8453125,14.859375,14.859375,14.775,14.6484375,14.715625,14.8015625,14.728125,14.6625,14.8203125,14.690625,14.9265625,14.934375,14.84375,14.8953125,14.9125,14.7890625,14.790625,14.759375,14.80625,14.784375,14.746875,14.775,14.7921875,14.7234375,14.6453125,14.7515625,14.834375,14.8125,14.8859375,14.921875,14.8453125,14.759375,14.775,14.759375,14.815625,14.759375,14.790625,14.7953125,14.784375,14.740625,14.7828125,14.684375,14.8609375,14.8609375,14.9234375,14.865625,14.925,14.80625,14.853125,14.775,14.80625,14.80625,14.8625,14.759375,14.8171875,14.775,14.7484375,14.628125,14.915625,14.8609375,14.9,14.921875,14.9,14.853125,14.8625,14.765625,14.759375,14.80625,14.778125,14.8015625,14.9078125,14.740625,14.715625,14.759375,14.7796875,14.834375,15.021875,14.8515625,14.9390625,14.9,14.775,14.925,14.80625,14.775,14.8625,14.775,14.6984375,14.775,14.7140625,14.759375,14.8109375,14.834375,14.9515625,15.015625,14.9390625,14.9,14.86875,14.83125,14.80625,14.775,14.80625,14.8171875,14.8171875,14.7984375,14.7953125,14.7328125,14.8953125,14.8515625,14.946875,14.98125,14.90625,14.83125,14.8359375,14.853125,14.878125,14.8703125,14.775,14.83125,14.7921875,14.740625,14.8,14.721875,14.834375,14.9484375,14.88125,14.8609375,14.8953125,14.7671875,14.921875,14.8796875,14.83125,14.83125,14.784375,14.740625,14.7921875,14.8171875,14.759375,14.76875,14.8,14.759375,14.9421875,14.834375,14.809375,14.846875,14.8953125,14.7921875,14.84375,14.84375,14.81875,14.809375,14.8140625,14.659375,14.671875,14.8046875,14.5703125,14.834375,14.803125,14.8109375,14.8515625,14.8453125,14.8171875,14.7890625,14.8609375,14.7484375,14.88125,14.8171875,14.740625,14.69375,14.565625,14.7796875,14.8953125,14.8890625,14.8,14.7859375,14.78125,14.8078125,14.828125,14.8109375,14.828125,14.759375,14.8453125,14.88125,14.6984375,14.6296875,14.7859375,14.8265625
1.232,18.0828125,17.184375,17.121875,16.9765625,16.834375,17.0328125,16.928125,16.9578125,17.0796875,16.9578125,16.9625,16.8625,16.9234375,17.075,17.1171875,17.0515625,17.1453125,17.1625,16.9578125,17.0984375,17.09375,17.0328125,17.075,17.075,17.0125,17.0640625,17.0234375,17.0328125,17.13125,16.9578125,16.9484375,16.928125,17.021875,17.0375,17.1203125,17.0921875,17.178125,17.0640625,17.1453125,17.134375,17.1453125,17.040625,17.025,17.0078125,16.9953125,17.01875,16.9421875,16.9671875,16.9328125,16.9703125,17.0546875,17.075,17.1453125,17.103125,17.1171875,17.1078125,17.1078125,16.9921875,17.0140625,17.03125,16.9984375,17.06875,17.0703125,16.9984375,17.0796875,16.99375,17.1609375,17.209375,17.065625,17.1859375,17.1109375,17.153125,17.153125,17.040625,16.9140625,17.009375,17.0609375,17.0125,16.909375,17.0890625,16.984375,17.1921875,17.215625,17.128125,17.1859375,17.178125,17.0828125,17.059375,17.028125,17.075,17.05,17.0125,17.040625,17.0515625,16.9734375,16.9203125,17.0171875,17.103125,17.09375,17.1765625,17.215625,17.1109375,17.028125,17.075,17.028125,17.084375,17.028125,17.059375,17.0609375,17.04375,17.03125,17.0640625,16.953125,17.1296875,17.1453125,17.2140625,17.13125,17.225,17.075,17.121875,17.075,17.075,17.075,17.13125,17.028125,17.1109375,17.065625,16.9953125,16.896875,17.225,17.1453125,17.190625,17.215625,17.2,17.153125,17.13125,17.065625,17.028125,17.075,17.046875,17.0671875,17.1734375,17.03125,16.965625,17.028125,17.0890625,17.115625,17.340625,17.1453125,17.2046875,17.2,17.075,17.225,17.075,17.075,17.13125,17.06875,16.9578125,17.03125,16.9953125,17.028125,17.0796875,17.115625,17.2703125,17.309375,17.2671875,17.2,17.16875,17.13125,17.075,17.075,17.10625,17.0828125,17.1078125,17.0828125,17.0421875,16.9984375,17.1953125,17.1265625,17.265625,17.2375,17.2,17.125,17.1015625,17.153125,17.178125,17.1359375,17.06875,17.125,17.0828125,17.025,17.075,16.98125,17.128125,17.2515625,17.1625,17.1453125,17.1859375,17.0609375,17.215625,17.1453125,17.125,17.125,17.04375,17.03125,17.0765625,17.0640625,17.028125,17.0625,17.075,17.059375,17.2515625,17.115625,17.128125,17.103125,17.1859375,17.0828125,17.134375,17.134375,17.103125,17.09375,17.0953125,16.928125,16.928125,17.0796875,16.8171875,17.115625,17.103125,17.0796875,17.1265625,17.1578125,17.0640625,17.1015625,17.1453125,16.9953125,17.1625,17.1265625,16.971875,16.99375,16.796875,17.0265625,17.1859375,17.1921875,17.075,17.0765625,17.0375,17.1109375,17.13125,17.0796875,17.13125,17.028125,17.1484375,17.18125,16.9453125,16.8578125,17.0328125,17.1171875
