2017/02/10 15:53:22
Time (sec),PTAT,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255
0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,3.7640625,3.478125,3.5953125,3.61875,3.5671875,3.5859375,3.5953125,3.6,3.54375,3.54375,3.54375,3.5953125,3.5203125,3.5671875,3.609375,3.5953125,3.58125,3.6,3.6234375,3.5859375,3.54375,3.61875,3.5671875,3.5671875,3.571875,3.571875,3.5671875,3.50625,3.5578125,3.54375,3.515625,3.534375,3.6,3.54375,3.5203125,3.609375,3.5671875,3.571875,3.58125,3.58125,3.58125,3.534375,3.58125,3.58125,3.571875,3.5671875,3.553125,3.5203125,3.534375,3.58125,3.609375,3.5671875,3.58125,3.58125,3.5859375,3.5859375,3.5953125,3.5953125,3.5859375,3.534375,3.58125,3.571875,3.5671875,3.553125,3.58125,3.6,3.5671875,3.571875,3.6328125,3.54375,3.553125,3.5953125,3.5953125,3.553125,3.553125,3.54375,3.5859375,3.534375,3.571875,3.5578125,3.534375,3.553125,3.571875,3.58125,3.5859375,3.553125,3.5953125,3.5578125,3.5578125,3.6,3.6,3.553125,3.553125,3.5859375,3.58125,3.515625,3.609375,3.61875,3.571875,3.5859375,3.5953125,3.5953125,3.5578125,3.5578125,3.6,3.5578125,3.5578125,3.5578125,3.5953125,3.54375,3.5859375,3.571875,3.5578125,3.5578125,3.58125,3.5859375,3.5953125,3.5578125,3.6,3.6,3.5578125,3.5578125,3.6,3.6,3.5578125,3.5953125,3.5859375,3.571875,3.5578125,3.61875,3.6328125,3.5859375,3.5953125,3.6,3.5578125,3.5578125,3.5578125,3.6,3.5578125,3.5578125,3.6,3.5953125,3.534375,3.571875,3.5578125,3.61875,3.571875,3.5859375,3.6375,3.6,3.5578125,3.6,3.6,3.5578125,3.5578125,3.6,3.5953125,3.54375,3.534375,3.6234375,3.5578125,3.5578125,3.6234375,3.6328125,3.5953125,3.553125,3.6,3.6,3.5578125,3.5578125,3.6,3.5578125,3.553125,3.5859375,3.58125,3.571875,3.553125,3.6,3.61875,3.58125,3.6375,3.5953125,3.5953125,3.553125,3.6,3.6,3.6,3.553125,3.553125,3.5859375,3.5296875,3.5671875,3.6,3.5953125,3.609375,3.571875,3.6328125,3.5859375,3.5953125,3.5953125,3.5953125,3.5953125,3.5953125,3.5953125,3.5859375,3.58125,3.571875,3.609375,3.5953125,3.5671875,3.6,3.61875,3.571875,3.5296875,3.58125,3.6328125,3.5859375,3.5859375,3.5859375,3.58125,3.58125,3.571875,3.61875,3.6,3.5671875,3.609375,3.571875,3.534375,3.5578125,3.5671875,3.571875,3.571875,3.58125,3.58125,3.6234375,3.571875,3.5671875,3.609375,3.534375,3.5015625,3.609375,3.5859375,3.609375,3.5671875,3.5859375,3.6,3.553125,3.5578125,3.609375,3.609375,3.5578125,3.553125,3.6,3.5859375,3.5671875,3.609375,3.5859375
0.468,6.2734375,5.796875,5.9921875,6.03125,5.9453125,5.9765625,5.9921875,6,5.90625,5.90625,5.90625,5.9921875,5.8671875,5.9453125,6.015625,5.9921875,5.96875,6,6.0390625,5.9765625,5.90625,6.03125,5.9453125,5.9453125,5.953125,5.953125,5.9453125,5.84375,5.9296875,5.90625,5.859375,5.890625,6,5.90625,5.8671875,6.015625,5.9453125,5.953125,5.96875,5.96875,5.96875,5.890625,5.96875,5.96875,5.953125,5.9453125,5.921875,5.8671875,5.890625,5.96875,6.015625,5.9453125,5.96875,5.96875,5.9765625,5.9765625,5.9921875,5.9921875,5.9765625,5.890625,5.96875,5.953125,5.9453125,5.921875,5.96875,6,5.9453125,5.953125,6.0546875,5.90625,5.921875,5.9921875,5.9921875,5.921875,5.921875,5.90625,5.9765625,5.890625,5.953125,5.9296875,5.890625,5.921875,5.953125,5.96875,5.9765625,5.921875,5.9921875,5.9296875,5.9296875,6,6,5.921875,5.921875,5.9765625,5.96875,5.859375,6.015625,6.03125,5.953125,5.9765625,5.9921875,5.9921875,5.9296875,5.9296875,6,5.9296875,5.9296875,5.9296875,5.9921875,5.90625,5.9765625,5.953125,5.9296875,5.9296875,5.96875,5.9765625,5.9921875,5.9296875,6,6,5.9296875,5.9296875,6,6,5.9296875,5.9921875,5.9765625,5.953125,5.9296875,6.03125,6.0546875,5.9765625,5.9921875,6,5.9296875,5.9296875,5.9296875,6,5.9296875,5.9296875,6,5.9921875,5.890625,5.953125,5.9296875,6.03125,5.953125,5.9765625,6.0625,6,5.9296875,6,6,5.9296875,5.9296875,6,5.9921875,5.90625,5.890625,6.0390625,5.9296875,5.9296875,6.0390625,6.0546875,5.9921875,5.921875,6,6,5.9296875,5.9296875,6,5.9296875,5.921875,5.9765625,5.96875,5.953125,5.921875,6,6.03125,5.96875,6.0625,5.9921875,5.9921875,5.921875,6,6,6,5.921875,5.921875,5.9765625,5.8828125,5.9453125,6,5.9921875,6.015625,5.953125,6.0546875,5.9765625,5.9921875,5.9921875,5.9921875,5.9921875,5.9921875,5.9921875,5.9765625,5.96875,5.953125,6.015625,5.9921875,5.9453125,6,6.03125,5.953125,5.8828125,5.96875,6.0546875,5.9765625,5.9765625,5.9765625,5.96875,5.96875,5.953125,6.03125,6,5.9453125,6.015625,5.953125,5.890625,5.9296875,5.9453125,5.953125,5.953125,5.96875,5.96875,6.0390625,5.953125,5.9453125,6.015625,5.890625,5.8359375,6.015625,5.9765625,6.015625,5.9453125,5.9765625,6,5.921875,5.9296875,6.015625,6.015625,5.9296875,5.921875,6,5.9765625,5.9453125,6.015625,5.9765625
0.562,10.0375,9.34375,9.525,9.590625,9.5125,9.51875,9.546875,9.6,9.4875,9.45,9.45,9.5875,9.43125,9.5125,9.565625,9.5875,9.55,9.6,9.609375,9.5625,9.45,9.609375,9.5125,9.5125,9.490625,9.525,9.5125,9.390625,9.4875,9.4875,9.41875,9.425,9.6,9.503125,9.43125,9.5875,9.5125,9.525,9.55,9.55,9.55,9.45625,9.55,9.55,9.525,9.5125,9.475,9.3875,9.484375,9.55,9.5875,9.5125,9.55,9.55,9.5625,9.5625,9.5875,9.553125,9.534375,9.459375,9.55,9.496875,9.5125,9.475,9.50625,9.55625,9.5125,9.559375,9.65625,9.45,9.503125,9.5875,9.559375,9.503125,9.503125,9.484375,9.5625,9.45625,9.525,9.4875,9.425,9.5125,9.525,9.55,9.5625,9.503125,9.5875,9.4875,9.515625,9.6,9.56875,9.475,9.503125,9.5625,9.515625,9.409375,9.5875,9.65,9.525,9.59375,9.615625,9.559375,9.4875,9.515625,9.6,9.4875,9.4875,9.515625,9.559375,9.45,9.5625,9.525,9.4875,9.528125,9.578125,9.59375,9.559375,9.515625,9.6,9.6,9.459375,9.515625,9.6,9.571875,9.4875,9.5875,9.5625,9.490625,9.4875,9.68125,9.653125,9.5625,9.615625,9.6,9.4875,9.4875,9.515625,9.6,9.4875,9.515625,9.6,9.5875,9.425,9.496875,9.528125,9.65,9.525,9.59375,9.7,9.6,9.515625,9.6,9.6,9.4875,9.4875,9.6,9.559375,9.45,9.459375,9.6625,9.4875,9.4875,9.628125,9.6875,9.5875,9.503125,9.6,9.6,9.515625,9.515625,9.6,9.515625,9.475,9.5625,9.55,9.525,9.475,9.6,9.65,9.55,9.665625,9.615625,9.5875,9.50625,9.6,9.6,9.56875,9.475,9.503125,9.5625,9.446875,9.5125,9.6,9.5875,9.590625,9.559375,9.653125,9.5625,9.5875,9.5875,9.5875,9.5875,9.5875,9.5875,9.5625,9.55,9.525,9.590625,9.5875,9.5125,9.6,9.65,9.525,9.446875,9.55,9.65625,9.5625,9.5625,9.5625,9.55,9.55,9.525,9.609375,9.6,9.5125,9.625,9.525,9.46875,9.4875,9.546875,9.525,9.525,9.578125,9.584375,9.628125,9.525,9.5125,9.625,9.46875,9.384375,9.625,9.5625,9.625,9.5125,9.5625,9.6,9.475,9.521875,9.625,9.625,9.4875,9.5125,9.6,9.51875,9.5125,9.625,9.5625
0.656,13.8015625,12.925,13.0265625,13.1203125,13.0796875,13.0390625,13.08125,13.2,13.0875,12.99375,12.99375,13.1828125,13.0171875,13.0796875,13.0859375,13.1828125,13.13125,13.2,13.153125,13.1484375,12.99375,13.1671875,13.0796875,13.0796875,13.0109375,13.096875,13.0796875,12.9578125,13.0453125,13.0875,13,12.959375,13.2,13.1265625,13.0171875,13.140625,13.0796875,13.096875,13.13125,13.13125,13.13125,13.0375,13.13125,13.13125,13.096875,13.0796875,13.028125,12.9078125,13.1078125,13.13125,13.140625,13.0796875,13.13125,13.13125,13.1484375,13.1484375,13.1828125,13.096875,13.078125,13.0453125,13.13125,13.0265625,13.0796875,13.028125,13.021875,13.090625,13.0796875,13.1828125,13.2421875,12.99375,13.0984375,13.1828125,13.1125,13.0984375,13.0984375,13.0796875,13.1484375,13.0375,13.096875,13.0453125,12.959375,13.121875,13.096875,13.13125,13.1484375,13.0984375,13.1828125,13.0453125,13.115625,13.2,13.121875,13.028125,13.0984375,13.1484375,13.0453125,12.9765625,13.140625,13.26875,13.096875,13.2265625,13.253125,13.1125,13.0453125,13.115625,13.2,13.0453125,13.0453125,13.115625,13.1125,12.99375,13.1484375,13.096875,13.0453125,13.146875,13.2015625,13.2265625,13.1125,13.115625,13.2,13.2,12.975,13.115625,13.2,13.1296875,13.0453125,13.1828125,13.1484375,13.0109375,13.0453125,13.346875,13.234375,13.1484375,13.253125,13.2,13.0453125,13.0453125,13.115625,13.2,13.0453125,13.115625,13.2,13.1828125,12.959375,13.0265625,13.146875,13.26875,13.096875,13.2265625,13.3375,13.2,13.115625,13.2,13.2,13.0453125,13.0453125,13.2,13.1125,12.99375,13.0453125,13.2859375,13.0453125,13.0453125,13.2,13.3203125,13.1828125,13.0984375,13.2,13.2,13.115625,13.115625,13.2,13.115625,13.028125,13.1484375,13.13125,13.096875,13.028125,13.2,13.26875,13.13125,13.2515625,13.253125,13.1828125,13.10625,13.2,13.2,13.121875,13.028125,13.0984375,13.1484375,13.028125,13.0796875,13.2,13.1828125,13.1484375,13.1828125,13.234375,13.1484375,13.1828125,13.1828125,13.1828125,13.1828125,13.1828125,13.1828125,13.1484375,13.13125,13.096875,13.1484375,13.1828125,13.0796875,13.2,13.26875,13.096875,13.028125,13.13125,13.2421875,13.1484375,13.1484375,13.1484375,13.13125,13.13125,13.096875,13.1671875,13.2,13.0796875,13.234375,13.096875,13.06875,13.0453125,13.165625,13.096875,13.096875,13.2015625,13.2171875,13.2,13.096875,13.0796875,13.234375,13.06875,12.95625,13.234375,13.1484375,13.234375,13.0796875,13.1484375,13.2,13.028125,13.13125,13.234375,13.234375,13.0453125,13.121875,13.2,13.0390625,13.0796875,13.234375,13.1484375
0.765,18.8203125,17.7,17.7265625,17.8265625,17.8359375,17.7546875,17.79375,17.98125,17.86875,17.71875,17.71875,17.95625,17.7984375,17.859375,17.7796875,17.9421875,17.90625,18,17.878125,17.9078125,17.7375,17.9109375,17.8359375,17.8359375,17.721875,17.859375,17.81875,17.7140625,17.7890625,17.86875,17.753125,17.671875,18,17.9578125,17.7765625,17.878125,17.853125,17.859375,17.90625,17.90625,17.90625,17.796875,17.8890625,17.90625,17.8421875,17.815625,17.765625,17.6234375,17.909375,17.884375,17.896875,17.8359375,17.90625,17.890625,17.9296875,17.9296875,17.959375,17.821875,17.8171875,17.8265625,17.90625,17.7328125,17.8359375,17.784375,17.709375,17.803125,17.853125,17.996875,18.0234375,17.71875,17.8921875,17.9765625,17.85,17.878125,17.8921875,17.85625,17.915625,17.8125,17.859375,17.7890625,17.671875,17.934375,17.8765625,17.90625,17.9296875,17.8921875,17.9625,17.7890625,17.915625,18,17.859375,17.75,17.8921875,17.9296875,17.76875,17.7328125,17.878125,18.09375,17.859375,18.0546875,18.103125,17.8640625,17.7890625,17.915625,18,17.7890625,17.7890625,17.915625,17.8640625,17.71875,17.9125,17.859375,17.80625,17.9515625,18.01875,18.0703125,17.8640625,17.915625,18,18,17.690625,17.9015625,17.9859375,17.8875,17.7890625,17.9625,17.9296875,17.721875,17.7890625,18.1984375,18.009375,17.946875,18.0890625,18,17.803125,17.803125,17.9015625,17.9859375,17.803125,17.9015625,17.984375,17.9765625,17.6890625,17.746875,17.934375,18.09375,17.8765625,18.0546875,18.1734375,18,17.915625,17.9859375,18,17.803125,17.7890625,17.9859375,17.8640625,17.7359375,17.8265625,18.0828125,17.7890625,17.80625,17.9625,18.1484375,17.9765625,17.8921875,18,18,17.915625,17.9015625,18,17.915625,17.7796875,17.915625,17.90625,17.8765625,17.765625,17.98125,18.09375,17.90625,18.0328125,18.0890625,17.9765625,17.90625,17.9859375,17.9859375,17.875,17.7796875,17.878125,17.9296875,17.803125,17.8359375,17.98125,17.9765625,17.909375,17.996875,18.009375,17.9296875,17.9765625,17.959375,17.9765625,17.9765625,17.9765625,17.9765625,17.9296875,17.90625,17.859375,17.8921875,17.9765625,17.8359375,17.978125,18.0734375,17.8765625,17.8203125,17.90625,18.0234375,17.9296875,17.9296875,17.9296875,17.90625,17.9234375,17.859375,17.9109375,18,17.8359375,18.046875,17.859375,17.86875,17.7890625,17.9734375,17.8765625,17.859375,18.01875,18.04375,17.9625,17.8765625,17.8359375,18.0296875,17.86875,17.71875,18.0171875,17.9296875,18.046875,17.8359375,17.9296875,18,17.784375,17.9265625,18.0296875,18.0296875,17.80625,17.915625,17.98125,17.7546875,17.8359375,18.0171875,17.9296875
0.874,22.584375,21.28125,21.321875,21.35625,21.403125,21.340625,21.328125,21.525,21.4125,21.2625,21.2625,21.490625,21.384375,21.496875,21.3,21.434375,21.4875,21.6,21.421875,21.428125,21.3375,21.46875,21.403125,21.403125,21.29375,21.43125,21.334375,21.28125,21.346875,21.4125,21.26875,21.20625,21.6,21.58125,21.296875,21.43125,21.471875,21.43125,21.4875,21.4875,21.4875,21.33125,21.41875,21.4875,21.3625,21.321875,21.31875,21.209375,21.44375,21.4,21.50625,21.403125,21.4875,21.425,21.515625,21.515625,21.503125,21.365625,21.403125,21.4125,21.4875,21.2625,21.403125,21.39375,21.225,21.3375,21.471875,21.56875,21.609375,21.2625,21.4875,21.571875,21.403125,21.43125,21.4875,21.4,21.459375,21.39375,21.43125,21.346875,21.20625,21.54375,21.5,21.4875,21.515625,21.4875,21.515625,21.346875,21.515625,21.6,21.4125,21.25625,21.4875,21.515625,21.35,21.3,21.43125,21.7125,21.43125,21.640625,21.740625,21.459375,21.346875,21.515625,21.6,21.346875,21.346875,21.515625,21.459375,21.2625,21.446875,21.43125,21.415625,21.509375,21.6,21.703125,21.459375,21.515625,21.6,21.6,21.290625,21.459375,21.54375,21.4875,21.346875,21.515625,21.515625,21.29375,21.346875,21.75625,21.590625,21.584375,21.684375,21.6,21.403125,21.403125,21.459375,21.54375,21.403125,21.459375,21.5375,21.571875,21.275,21.31875,21.440625,21.7125,21.5,21.640625,21.76875,21.6,21.515625,21.54375,21.6,21.403125,21.346875,21.54375,21.459375,21.33125,21.4125,21.603125,21.346875,21.415625,21.534375,21.734375,21.571875,21.4875,21.6,21.6,21.515625,21.459375,21.6,21.515625,21.375,21.459375,21.4875,21.5,21.31875,21.525,21.7125,21.4875,21.61875,21.684375,21.571875,21.50625,21.54375,21.54375,21.475,21.375,21.43125,21.515625,21.384375,21.403125,21.525,21.571875,21.51875,21.56875,21.590625,21.515625,21.571875,21.503125,21.571875,21.571875,21.571875,21.571875,21.515625,21.4875,21.43125,21.45,21.571875,21.403125,21.5125,21.63125,21.5,21.453125,21.4875,21.609375,21.515625,21.515625,21.515625,21.4875,21.55625,21.43125,21.46875,21.6,21.403125,21.65625,21.43125,21.46875,21.346875,21.540625,21.5,21.43125,21.6,21.625,21.534375,21.5,21.403125,21.5875,21.46875,21.290625,21.5375,21.515625,21.65625,21.403125,21.515625,21.6,21.39375,21.484375,21.5875,21.5875,21.415625,21.46875,21.525,21.340625,21.403125,21.5375,21.515625
0.999,25.09375,23.7375,23.71875,23.65,23.78125,23.73125,23.64375,23.85,23.775,23.625,23.625,23.80625,23.81875,23.96875,23.5875,23.69375,23.875,24,23.73125,23.73125,23.775,23.8,23.78125,23.78125,23.675,23.8125,23.64375,23.7,23.71875,23.775,23.6125,23.5625,24,24.05,23.64375,23.7625,23.91875,23.8125,23.875,23.875,23.875,23.6875,23.7375,23.875,23.675,23.61875,23.6875,23.64375,23.8,23.7,23.9125,23.78125,23.875,23.75,23.90625,23.90625,23.83125,23.69375,23.79375,23.8375,23.875,23.5875,23.78125,23.8375,23.525,23.65,23.91875,23.95,23.96875,23.625,23.9125,23.96875,23.74375,23.8,23.9125,23.7625,23.79375,23.8125,23.8125,23.71875,23.5625,23.9875,23.95,23.875,23.90625,23.9125,23.85625,23.71875,23.94375,24,23.75,23.5625,23.9125,23.90625,23.7375,23.7125,23.7625,24.125,23.8125,24.03125,24.19375,23.85625,23.71875,23.94375,24,23.71875,23.71875,23.94375,23.85625,23.625,23.76875,23.8125,23.85625,23.88125,23.9875,24.15625,23.85625,23.94375,24,24,23.71875,23.83125,23.8875,23.8875,23.71875,23.85625,23.90625,23.675,23.71875,24.0875,23.94375,24.04375,24.08125,24,23.83125,23.83125,23.83125,23.8875,23.83125,23.83125,23.875,23.96875,23.7,23.7,23.74375,24.125,23.95,24.03125,24.1375,24,23.94375,23.8875,24,23.83125,23.71875,23.8875,23.85625,23.7625,23.8375,23.88125,23.71875,23.85625,23.88125,24.09375,23.96875,23.9125,24,24,23.94375,23.83125,24,23.94375,23.8,23.79375,23.875,23.95,23.6875,23.85,24.125,23.875,23.975,24.08125,23.96875,23.9375,23.8875,23.8875,23.875,23.8,23.8,23.90625,23.80625,23.78125,23.85,23.96875,23.925,23.95,23.94375,23.90625,23.96875,23.83125,23.96875,23.96875,23.96875,23.96875,23.90625,23.875,23.8125,23.7875,23.96875,23.78125,23.825,23.9625,23.95,23.94375,23.875,23.96875,23.90625,23.90625,23.90625,23.875,24.0125,23.8125,23.8,24,23.78125,24.0625,23.8125,23.9125,23.71875,23.91875,23.95,23.8125,23.9875,24.0125,23.88125,23.95,23.78125,23.925,23.9125,23.71875,23.825,23.90625,24.0625,23.78125,23.90625,24,23.8375,23.85625,23.925,23.925,23.85625,23.8375,23.85,23.73125,23.78125,23.825,23.90625
1.092,25.09375,23.840625,23.71875,23.5609375,23.78125,23.665625,23.64375,23.79375,23.775,23.625,23.625,23.7453125,23.81875,23.96875,23.4984375,23.69375,23.875,24,23.6515625,23.665625,23.83125,23.8,23.78125,23.78125,23.675,23.8125,23.5921875,23.7609375,23.71875,23.775,23.6125,23.5625,24,24.05,23.709375,23.7625,23.91875,23.8125,23.875,23.875,23.875,23.734375,23.7375,23.9265625,23.675,23.61875,23.74375,23.709375,23.8,23.7,23.9125,23.78125,23.875,23.75,23.90625,23.90625,23.7796875,23.69375,23.79375,23.8375,23.828125,23.5875,23.78125,23.8375,23.459375,23.65,23.9703125,23.8984375,23.921875,23.6671875,23.9125,23.9265625,23.74375,23.8421875,23.9125,23.7625,23.7515625,23.859375,23.7609375,23.71875,23.5625,23.9875,23.95,23.875,23.9578125,23.9546875,23.8140625,23.7609375,23.9859375,23.9578125,23.703125,23.5625,23.9125,23.8640625,23.7375,23.7640625,23.7625,24.0640625,23.8125,24.03125,24.19375,23.85625,23.7609375,23.9859375,23.9578125,23.71875,23.7609375,23.9859375,23.8140625,23.6765625,23.815625,23.8125,23.85625,23.88125,23.9875,24.15625,23.85625,23.9859375,24,23.9578125,23.7609375,23.8734375,23.8453125,23.8453125,23.71875,23.85625,23.90625,23.6234375,23.71875,24.0875,23.8921875,24.04375,24.08125,24,23.83125,23.8734375,23.8734375,23.8453125,23.83125,23.8734375,23.875,23.96875,23.7,23.7,23.74375,24.125,23.95,24.078125,24.1375,24,23.9859375,23.8875,24,23.83125,23.71875,23.8875,23.85625,23.7625,23.8890625,23.8296875,23.71875,23.85625,23.8296875,24.09375,23.96875,23.9546875,24,24,23.94375,23.83125,24,23.94375,23.8,23.79375,23.875,23.8984375,23.74375,23.85,24.0734375,23.875,23.9234375,24.1234375,23.9265625,23.984375,23.8875,23.8875,23.875,23.8421875,23.8421875,23.90625,23.8578125,23.78125,23.85,23.903125,23.8734375,24.0015625,23.8921875,23.90625,23.96875,23.83125,23.9265625,23.9265625,23.9265625,23.96875,23.90625,23.8234375,23.8125,23.7359375,23.903125,23.78125,23.825,23.9625,23.95,23.9953125,23.875,23.921875,23.90625,23.90625,23.90625,23.875,24.0125,23.8125,23.8,23.934375,23.70625,24.0625,23.8875,23.978125,23.71875,23.9703125,23.95,23.8125,23.9875,24.0125,23.8296875,23.95,23.78125,23.925,23.978125,23.71875,23.7359375,23.8078125,23.96875,23.70625,23.90625,23.934375,23.8375,23.85625,23.925,23.925,23.85625,23.89375,23.85,23.73125,23.78125,23.825,23.90625
